order,id,page_id,Page,page_order,Chapter,question_order,questiontext
12,14,2,Mirror Images,2,XY Positions,6,"<p>
Is this statement true or false? 
</p>
“The position at x = -(-3) is <i>the mirror image of the mirror image</i> of the position at x = 3.”
<select>
<option class='correct'>True</option>
<option data-explain='The mirror image of x = 3 is x = -3; the mirror image of x = -3 is x = -(-3).'>False</option>
</select>"
13,15,2,Mirror Images,2,XY Positions,7,"Let’s practice!
</p>
Find the mirror image of x = -5, and mark it on the number line.
<span class='insert stimulus hide'>5</span>"
14,16,2,Mirror Images,2,XY Positions,8,"Now, find the mirror image of x = 1, and mark it on the number line.
<span class='insert stimulus hide'>-1</span>"
15,17,2,Mirror Images,2,XY Positions,10,"Finally, find the mirror image of x = -4, and mark it on the number line.
<span class='insert stimulus hide'>4</span>"
16,19,5,Decimals,5,XY Positions,1,"In trigonometry, we often focus on values between -1 and 1. Also, since the horizontal line is centered at the “zero” position, we have labeled the positions (x = -1, x = 0, and x = 1) with large marks.
</p>
Yet we can still have smaller marks in between -1, 0 and 1. Here, the small marks divide the part of the line to the right of 0 into ten parts, each corresponding to a tenth (1/10) of the interval from x = 0 to x = 1. Using these marks as our guide, we can mark positions corresponding to values like x = 0.1, x = 0.2, …, x = 0.9. For example, x = 0.3 corresponds to the third small mark to the right of the origin.
</p>
Click and drag a point to x = <span class='insert stimulus'>0.3</span> now."
17,20,5,Decimals,5,XY Positions,2,"Where is x = 0.7? Mark it on the number line.
<span class='insert stimulus hide'>0.7</span>"
18,21,5,Decimals,5,XY Positions,3,"Where is x = 0.4? Show us!
<span class='insert stimulus hide'>0.4</span>"
19,22,5,Decimals,5,XY Positions,4,"Good job marking the decimals!
</p>
Now, notice that our line also extends to the left of the origin. The line between x = 0 and x = -1 is divided into ten parts; each part is equal to 1/10th of the length of this whole interval.
</p>
Using these marks, we can now mark positions corresponding to values like x = -0.1, x = -0.2, …, x = -0.9. For example, x = -0.2 corresponds to the second small tick to the left of the origin. You can count off the values associated with each of these tick marks by proceeding from the origin to the left, counting the first mark as -0.1, the second as -0.2, etc.
Go ahead and mark where  x = <span class='insert stimulus'>-0.2</span> is now. "
20,23,5,Decimals,5,XY Positions,5,"Now, where is x = -0.8? Mark it on the number line.
<span class='insert stimulus hide'>-0.8</span>"
21,24,5,Decimals,5,XY Positions,6,"Where is x = -0.4? Show us!
<span class='insert stimulus hide'>-0.4</span>"
22,25,5,Decimals,5,XY Positions,7,"As you may know, the point at x = -0.4 and the point at x = 0.4 can be thought of as “mirror images” of each other on the number line.
</p>
Now, can you find the “mirror image” of the point at x = 0.7?
<span class='insert stimulus hide'>-0.7</span>"
23,26,5,Decimals,5,XY Positions,8,"What is the mirror image of the point at x = -0.9? Mark it on the number line!
<span class='insert stimulus hide'>0.9</span>"
24,27,5,Decimals,5,XY Positions,9,"Is x = -0.4 to the left of x = -0.3, or to the right?
<select>
<option class='correct'>left</option>
<option data-explain='Which number is smaller, -0.4 or -0.3? Remember that the smaller the number is, the more left it is located on the number line!'>right</option>
</select>"
25,28,6,Hundredths,6,XY Positions,1,"We can think of our line as being made up of an infinite number of points, and we can specify the positions of these points using a decimal point followed by an arbitrary number of digits. For example, we may specify a point as 0.71 or 0.712, or 0.7126, or 0.71269, and so on.
</p>
Let's consider the case of two digits, like 0.37.  Values like this can be represented by imagining that we divide the interval between the marks into ten segments, to produce even smaller marks corresponding to 1/100ths.  "
26,29,6,Hundredths,6,XY Positions,2,"To find the value <span class='insert stimulus'>0.37</span> between 0 and 1, we count rightwards from the origin, first by tenths for the first digit. We can then imagine counting by hundredths for the second digit ""inside"" the interval between 0.3 and 0.4.  Because these tiny marks are not shown, you will have to estimate the position of 0.37 on the line shown here by first finding the position corresponding to 0.3, then proceeding 7/10 of the way from that position toward the position corresponding to 0.4.
</p>
Go ahead and try to click on this position now.  It won't be exact, but try to get close!"
27,30,6,Hundredths,6,XY Positions,3,"Now, mark x = 0.88 on the number line!
<span class='insert stimulus hide'>0.88</span>"
28,31,6,Hundredths,6,XY Positions,4,"Now, where is x = 0.52? Show us.
<span class='insert stimulus hide'>0.52</span>"
29,32,6,Hundredths,6,XY Positions,5,"How many different places can you place a point in between 0 and 1?
<select>
<option data-explain='Indeed, it is most obvious that the position “0.5” is between 0 and 1. But there still exist many more positions in between, say, 0.5 and 1. We have 0.51, 0.512, 0.5128...'>one</option>
<option data-explain='Indeed, there are nine positions in between 0 and 1, namely, 0.1, 0.2, …, 0.8 and 0.9. But there still exist many more positions in between, say, 0 and 0.1!'>nine</option>
<option class='correct'>infinitely many</option>
</select>"
30,33,6,Hundredths,6,XY Positions,6,"In fact, we think of the part of the line between 0 and -1 as being made up of an infinite number of points as well. Also, as before, we can specify positions using an arbitrary number of digits.
</p>
Let's again consider a case using two digits, like <span class='insert stimulus'>-0.59</span>.  This number represents a position in the negative unit interval, between -0.5 and -0.6.  To find this value, we can count leftward from the origin by tenths to find the first digit, and then estimate the location 9/10 of the way further to the left from -0.5 to -0.6.  Click on this position now."
31,34,6,Hundredths,6,XY Positions,7,"Where is x = -0.23? Mark it on the number line!
<span class='insert stimulus hide'>-0.23</span>"
32,35,6,Hundredths,6,XY Positions,8,"Where is x = -0.87? Show us!
<span class='insert stimulus hide'>-0.87</span>"
33,36,6,Hundredths,6,XY Positions,9,"Now, let’s think about mirror images again!
</p>
Where is the mirror image of x = -0.59? Mark it on the number line!
<span class='insert stimulus hide'>0.59</span>"
34,37,6,Hundredths,6,XY Positions,10,"Now, find the mirror image of x = 0.82, and mark it on the number line.
<span class='insert stimulus hide'>-0.82</span>"
35,38,6,Hundredths,6,XY Positions,11,"Is x = -0.38 to the left of x = -0.42, or to the right?
<select>
<option data-explain='Which number is smaller, -0.38 or -0.42? Remember that the smaller the number is, the more left it is located on the number line!'>left</option>
<option class='correct'>right</option>
</select>"
36,39,7,Reading a Location,7,XY Positions,1,"Now, suppose we wish to read off the position of the green point.  We can do so by starting at the origin and counting all the marks to the left of the green point, corresponding to tenths of a unit.  We then estimate positions between this mark and the next mark, which corresponds to 1/100ths of the unit interval.  
</p>
For the case shown, the point is about halfway between the 2nd and 3rd mark — in other words, halfway between 0.20 and 0.30. What should this value be? Enter this value, and click Submit. 
<span class='insert stimulus hide'>0.25</span>
</p>"
37,40,7,Reading a Location,7,XY Positions,2,"<p>
Of course, for positions to the left of 0, we would count the marks from the origin, and remember to include a minus sign before the number.  Using this strategy, enter the value of x for the negative position shown in the display<span class='insert stimulus hide'>-0.89</span>.
</p>"
38,41,7,Reading a Location,7,XY Positions,3,"Indeed, the point shown on the number line is at x = -0.89. </p>
What is the value of the mirror image of x = -0.89? Enter it in the text box, and click Submit.
<span class='insert stimulus hide'>0.89</span>"
39,42,7,Reading a Location,7,XY Positions,4,"What is the mirror image of x = 0.73? Enter this value in the text box, and click Submit.
<span class='insert stimulus hide'>-0.73</span>"
40,43,7,Reading a Location,7,XY Positions,5,What is the x-value of the green point?<span class='insert stimulus hide'></span>
41,44,8,Vertical Number Line,8,XY Positions,1,"How do numbers refer to points on a vertical line? Is there a “positive” direction on the vertical line as well? 
</p>
<p>
As before, we will start with the position at “0” (i.e. the <i>origin</i>), and consider an interval from -1 to 1 on the vertical line. We would proceed upward for positive values, and  downward for negative values. 
</p>
Just as we used 'x' to represent positions on the horizontal number line, here we will use 'y' to represent positions on the vertical number line. For example, 0.3 units above zero can be written as y = 0.3. 
</p>
Try to place the point at y = <span class='insert stimulus'>0.3</span>, and then click Submit."
42,45,8,Vertical Number Line,8,XY Positions,2,"As another example, 0.71 units <i>below zero</i> can be written as y = -0.71. Let’s place a point at y = <span class='insert stimulus'>-0.71</span> on the vertical number line! 
</p>
You can reach this position by proceeding down seven marks from “0”, then further proceeding 1/10 of the distance from the seventh mark toward the eighth mark. Try to mark this position now."
43,46,8,Vertical Number Line,8,XY Positions,3,"<p>Now, estimate the position shown on the number line, and enter this value in the text box.</p>"
44,47,8,Vertical Number Line,8,XY Positions,4,"Is the position y = -0.78 above y = -0.81, or below it?
<select>
<option class='correct'>above</option>
<option data-explain='Which number is smaller, -0.78 or -0.81? Remember that the smaller the number is, the lower it is located on the vertical number line!'>below</option>
</select>"
45,48,8,Vertical Number Line,8,XY Positions,5,"Now, let's mark y = <span class='insert stimulus'></span>!"
46,49,9,Thinking Vertically,9,XY Positions,1,"Let’s think about vertical positions and the relationship between points on the y-axis!
</p>
Recall that we have discussed the concept of <i>mirror image</i>. Here, for example, y= 0.5 and y = -0.5 can be thought of as <i>mirror images</i> of each other on the vertical number line. The two positions are the same distance from “y = 0”, but in opposite directions."
47,50,9,Thinking Vertically,9,XY Positions,2,"Where is the mirror image of y = 0.85? Mark it on the number line!
<span class='insert stimulus hide'>-0.85</span>"
48,51,9,Thinking Vertically,9,XY Positions,3,"Where is the mirror image of y = -0.36? Mark it on the number line.
<span class='insert stimulus hide'>0.36</span>"
49,52,9,Thinking Vertically,9,XY Positions,4,"As we have seen, the mirror image of “y = 0.85"" is ""y = -0.85""; the mirror image of ""y = -0.36"" is ""y = 0.36"".
</p>
You may notice a relationship between the minus sign ""-"" and the idea of mirror images. What is this relationship?"
50,53,9,Thinking Vertically,9,XY Positions,5,"While a number refers to a position on the number line, adding a minus sign in front of the number gives us the mirror image of that position. For instance, if you add ""-"" before 0.85, the position you will get is -0.85, the mirror image of y = 0.85 on the vertical number line."
51,54,9,Thinking Vertically,9,XY Positions,6,"Now, we have two slightly harder questions for you. 
</p>
Is this statement true or false? 
</p>
“y = -(-0.41) is the mirror image of y = -0.41.”
<select>
<option class='correct'>True</option>
<option data-explain='If you place the point at y = -0.41, then its mirror image will be equally far from 0, but on the opposite side. So, the mirror image will be at y = -(-0.41)!'>False</option>
</select>"
52,55,9,Thinking Vertically,9,XY Positions,7,"Is this statement true or false? 
</p>
“The position at y = -(-0.41) is <i>the mirror image of the mirror image</i> of the position at y = 0.41.”
<select>
<option class='correct'>True</option>
<option data-explain='The mirror image of y = 0.41 is y = -0.41; the mirror image of y = -0.41 is y = -(-0.41).'>False</option>
</select>"
53,56,9,Thinking Vertically,9,XY Positions,8,"Let’s practice!
</p>
Find the mirror image of y = 0.25, and mark it on the vertical number line.
<span class='insert stimulus hide'>-0.25</span>"
54,57,9,Thinking Vertically,9,XY Positions,9,"Now, Find the mirror image of y = -0.96, and mark it on the vertical number line.
<span class='insert stimulus hide'>0.96</span>"
55,58,9,Thinking Vertically,9,XY Positions,10,"Finally, find the mirror image of y = 0.61, and mark it on the vertical number line.
<span class='insert stimulus hide'>-0.61</span>"
56,59,10,XY Plane,10,XY Positions,1,"Now, we will combine the number lines for horizontal positions and vertical positions, such that we can represent positions on a plane. Where should the two lines intersect each other? </p>
<p>
The horizontal number line is also known as the <i>x-axis</i>, whereas the vertical number line is also known as the <i>y-axis</i>. Here, the two axes intersect at the “0” positions of both lines. This is the position (x = 0, y = 0), and is also known as the <i>origin of the xy-coordinate plane</i>. 
</p>
Starting from here, we can refer to other positions on this plane with pairs of numbers. Each position is located at a horizontal position corresponding to its <i>x-coordinate value</i>, and a vertical position corresponding to its <i>y-coordinate value</i>.
</p>"
57,60,10,XY Plane,10,XY Positions,2,"<p>
Let's take a specific example, such as (x = 0.63, y = 0.47). Because we always list the x-coordinate first and the y-coordinate second, this can also be simplified as
<span class='insert stimulus'>(0.63, 0.47)</span>.
To find the point on the plane corresponding to this notation, we can:
</p>
<p class=""indent"">1. find the position on the x-axis corresponding to the x-coordinate. Click on the appropriate horizontal position;
</p>
<p class=""indent"">
2. then find the vertical position on the y-axis corresponding to the y-coordinate. You can drag the point upward or downward to mark that position.
</p>

Carry out these instructions on the diagram, and click Submit to see if your point corresponds to the position of (x = 0.63, y = 0.47) on the xy-plane. </p>
(As usual, try to get close, but don't worry about estimating positions exactly.)
</p>"
58,61,10,XY Plane,10,XY Positions,3,Where is <span class='insert stimulus'></span>? Mark it on the plane!
59,62,11,Reading XY Locations,11,XY Positions,1,"<p>
We can reverse the process, going from <i>points</i> shown on an xy-plane to <i>pairs of numbers</i> specifying the x- and y-coordinates of the points.
<span class='insert stimulus hide'>(0.38,0.71)</span>
</p>
<p class=""indent"">
First, find the given point's <i>x-coordinate value</i>. We do this by imagining a vertical line passing through the given point intersecting with the x-axis, and reading the x-coordinate value of this point.
</p>
<p class=""indent"">
Second, find the given point's <i>y-coordinate value</i>. We do this by imagining a horizontal line passing through the given point intersecting with the y-axis, and reading the y-coordinate value of this point.
</p>
Finally, write the two numbers in parentheses, with the x-coordinate value first and the y-coordinate value second, separated by a comma. 
</p>
Now, enter the expression for the given point’s position in the text box. You don't have to include the parentheses or the comma, but make sure you enter the two numbers in the correct order, and don't forget to add the minus sign wherever necessary!
</p>
(It’s okay if your estimates are not completely accurate, but you should still try to get close to the correct answers!)"
60,63,11,Reading XY Locations,11,XY Positions,2,What are the coordinates of the point shown?<span class='insert stimulus hide'></span>
61,64,12,Left-Right Reflections,12,XY Positions,1,"Consider the <i>mirror image</i> of a point on the x-axis. We can think of it as the <i>left-right reflection</i> of the point.
</p>
Now, let’s extend this idea to <i>any</i> point on the plane, and think about its left-right reflection. Specifically, if we think of the y-axis as dividing the plane into two halves, the <i>left-right reflection</i> of a point is the point at the same vertical position as the given point, located the same distance from the y-axis, but on the opposite side of the y-axis.
</p>
You may click on the canvas to place a point on the coordinate plane. Notice that wherever you place the orange dot, its left-right reflection is also displayed on canvas as an orange open circle. You might want to drag the orange dot and play around with it for a bit."
62,65,12,Left-Right Reflections,12,XY Positions,2,"What are the coordinates of the left-right reflection of (0.38, 0.71)? Choose the correct option!
</p>
(Try to place the point at (0.38, 0.71) on canvas to help yourself think about this. You will notice that the reflection’s y-coordinate and the original point’s y-coordinate are the same. Moreover, the reflection’s x-coordinate has the same magnitude as the original point, but has the opposite sign.)
<select>
<option data-explain='(0.38, 0.71) is in the upper-right quadrant, and its left-right reflection should be in the upper-left quadrant. But (0.38, -0.71) is in the lower-right quadrant...'>(0.38, -0.71)</option>
<option class='correct'>(-0.38, 0.71)</option>
<option data-explain='(0.38, 0.71) is in the upper-right quadrant, and its left-right reflection should be in the upper-left quadrant. But (-0.38, -0.71) is in the lower-left quadrant...'>(-0.38, -0.71)</option>
</select>"
63,66,12,Left-Right Reflections,12,XY Positions,3,"What are the coordinates of the left-right reflection of (-0.55, -0.8)? </p>
Again, you may use the canvas to help yourself. Enter the number pair in the box!
<span class='insert stimulus hide'>(0.55, -0.8)</span>"
64,67,12,Left-Right Reflections,12,XY Positions,4,"Now, instead of directly showing you the point and its reflection together, we will ask you to visualize a point’s left-right reflection in your mind, and then mark it on the canvas.
</p>
Where is the left-right reflection of (0.9, -0.45)? Mark it on the coordinate plane!
<span class='insert stimulus hide'>(-0.9, -0.45)</span>"
65,68,12,Left-Right Reflections,12,XY Positions,5,"Now, without the reflection tools on canvas, can you write down the coordinates of the left-right reflection of (-0.88, 0.29)? </p>
Enter the number pair in the box.
<span class='insert stimulus hide'>(0.88, 0.29)</span>"
66,69,12,Left-Right Reflections,12,XY Positions,6,"Where is the left-right reflection of (0.2, 0.7)? Mark it on the plane!
<span class='insert stimulus hide'>(-0.2, 0.7)</span>"
67,70,12,Left-Right Reflections,12,XY Positions,7,"Now, enter the coordinates of the left-right reflection of (0.2, 0.7).
<span class='insert stimulus hide'>(-0.2, 0.7)</span>"
68,71,12,Left-Right Reflections,12,XY Positions,8,"Where is the left-right reflection of (-0.65, -0.3)? Mark it on the plane!
<span class='insert stimulus hide'>(0.65, -0.3)</span>"
69,72,12,Left-Right Reflections,12,XY Positions,9,"Now, enter the coordinates of the left-right reflection of (-0.65, -0.3).
<span class='insert stimulus hide'>(0.65, -0.3)</span>"
70,73,12,Left-Right Reflections,12,XY Positions,10,"Where is the left-right reflection of (-0.15, 0.9)? Mark it on the plane!
<span class='insert stimulus hide'>(0.15, 0.9)</span>"
71,74,13,Up-Down Reflections,13,XY Positions,1,"Good job dealing with the left-right reflection!
</p>
Now, remember that we have discussed the mirror image of a point on the y-axis. In that discussion, we were talking about what we will now call the <i>up-down reflection</i> of a point.
</p>
Specifically, if we think of the x-axis as dividing the plane into two halves, the <i>up-down reflection</i> of a point is the point at the same horizontal position as the given point, located the same distance from the x-axis, but on the opposite side of the x-axis.
</p>
You may click on the canvas to place a point on the coordinate plane. Wherever you place the orange dot, its up-down reflection is also displayed on canvas as an orange open circle. To get familiar with this idea, you may want to play around with the orange dot for a bit."
72,75,13,Up-Down Reflections,13,XY Positions,2,"What are the coordinates of the up-down reflection of (0.38, 0.71)? Choose the correct option!
</p>
(Try to place the point at (0.38, 0.71) on canvas to help yourself think about this. You will notice that the reflection’s x-coordinate and the original point’s x-coordinate are the same. Moreover, the reflection’s y-coordinate has the same magnitude as the original point, but has the opposite sign.)
<select>
<option class='correct'>(0.38, -0.71)</option>
<option data-explain='(0.38, 0.71) is in the upper-right quadrant, and its up-down reflection should be in the lower-right quadrant. But (-0.38, 0.71) is in the upper-left quadrant...'>(-0.38, 0.71)</option>
<option data-explain='(0.38, 0.71) is in the upper-right quadrant, and its up-down reflection should be in the lower-right quadrant. But (-0.38, -0.71) is in the lower-left quadrant...'>(-0.38, -0.71)</option>
</select>"
73,76,13,Up-Down Reflections,13,XY Positions,3,"What are the coordinates of the up-down reflection of (-0.52, -0.92)? 
</p>Again, you may use the canvas to help yourself. Enter the number pair in the box!
<span class='insert stimulus hide'>(-0.52, 0.92)</span>"
74,77,13,Up-Down Reflections,13,XY Positions,4,"Now, instead of directly showing you the point and its reflection together, we will ask you to visualize a point’s up-down reflection in your mind, and then mark it on the canvas.
</p>
Where is the up-down reflection of (-0.65, 0.25)? Mark it on the coordinate plane!
<span class='insert stimulus hide'>(-0.65, -0.25)</span>"
75,78,13,Up-Down Reflections,13,XY Positions,5,"Finally, without the reflection tools on canvas, enter the coordinates of the up-down reflection of (0.89, -0.44).
<span class='insert stimulus hide'>(0.89, 0.44)</span>"
76,79,13,Up-Down Reflections,13,XY Positions,6,"Where is the up-down reflection of (0.2, 0.6)? Mark it on the plane!
<span class='insert stimulus hide'>(0.2, -0.6)</span>"
77,80,13,Up-Down Reflections,13,XY Positions,7,"Now, enter the coordinates of the up-down reflection of (0.2, 0.6).
<span class='insert stimulus hide'>(0.2, -0.6)</span>"
78,81,13,Up-Down Reflections,13,XY Positions,8,"Where is the up-down reflection of (-0.75, -0.4)? Mark it on the plane!
<span class='insert stimulus hide'>(-0.75, 0.4)</span>"
79,82,13,Up-Down Reflections,13,XY Positions,9,"Now, enter the coordinates of the up-down reflection of (-0.75, 0.4).
<span class='insert stimulus hide'>(-0.75, -0.4)</span>"
80,83,13,Up-Down Reflections,13,XY Positions,10,"Where is the up-down reflection of (0.95, -0.5)? Mark it on the plane!
<span class='insert stimulus hide'>(0.95, 0.5)</span>"
81,84,13,Up-Down Reflections,13,XY Positions,11,"Now, enter the coordinates of the up-down reflection of (0.95, -0.5).
<span class='insert stimulus hide'>(0.95, 0.5)</span>"
82,85,14,Introducing the Unit Circle,14,Circle Positions,1,"<p>This section will introduce you to a system that allows us to relate positions around a circle to positions on the xy-coordinate plane.  We begin by placing a special circle, called the <i>Unit Circle</i>, on the coordinate system we explored in the previous section.</p>
<p>
The <i>Unit Circle</i> is a circle created by fixing one end of a line of length 1 at the origin of the (x,y) plane, and then starting its other end at the location (x = 1, y = 0).  We then rotate the line, keeping the fixed end at the origin, drawing a circle with a pen positioned at the other end. </p>
<p>So, do you now know why it is called the “unit circle”? </p>"
83,86,14,Introducing the Unit Circle,14,Circle Positions,2,"<p>
A circle is always defined by two factors — its <i>center</i> and its <i>radius</i>. The pattern we just created is a very standard circle, with its center placed at the origin of the xy-plane, and a radius of one unit. Therefore, it is <i>the</i> unit circle.</p>
<p>
You can go ahead and click on the circle at the starting position (1, 0), or at any other position.  A line starting at the origin will appear with its endpoint on the circle.  You can drag the point around the circle in either direction.  In this way you can sweep the point on the circle all the way around, imagining that you are drawing the circle yourself. </p>
<p>Explore moving the point around the circle in both directions now, then click Continue when you are ready to move on.</p>"
84,87,15,Circle-Axis Intersections,15,Circle Positions,1,"Now, let's consider points where the circle intersects either the x-axis or the y-axis. 
"
85,88,15,Circle-Axis Intersections,15,Circle Positions,2,"How many such points are there, in total?
<select>
<option data-explain='There are points where the circle intersects the x-axis, and there are equally many points where the circle intersects the y-axis. Don’t forget to count them all!'>2 points</option>
<option class='correct'>4 points</option>
<option data-explain='Please carefully look at these 5 points again. Are you sure that all of them are points where the circle intersects an axis?'>5 points</option>
</select>"
86,89,15,Circle-Axis Intersections,15,Circle Positions,3,"The first such point is where we started -- that is, at (x = 1, y = 0), or  (1,0) <span class='insert stimulus hide'>0</span> on the positive x axis.  Mark that point and click Submit."
87,90,15,Circle-Axis Intersections,15,Circle Positions,4,"The circle intersects the positive y axis at the point (x = 0 , y = 1), namely, (0,1) <span class='insert stimulus hide'>90</span>.  Click on that point, and then click Submit."
88,91,15,Circle-Axis Intersections,15,Circle Positions,5,"In addition, the circle intersects the negative x axis at (-1,0) <span class='insert stimulus hide'>180</span>. Mark this position."
89,92,15,Circle-Axis Intersections,15,Circle Positions,6,"Finally, the circle intersects the negative y axis at (0,-1)<span class='insert stimulus hide'>270</span>. Mark this position."
90,93,16,Theta and Degrees,16,Circle Positions,1,"Besides writing the coordinates of points on the unit circle, is there another way for us to locate these points? 
</p>
Here, we need a system to consistently refer to the position of a point on the unit circle.  You can think of this system as specifying the position with respect to an arbitrary point on the circle, using a variable called ? (pronounced theta). In trigonometry, the point where the unit circle intersects the positive x-axis corresponds to the position on the circle where the variable ? is equal to 0°. "
91,94,16,Theta and Degrees,16,Circle Positions,2,"Now, you should be able to position a point on the circle where ? = <span class='insert stimulus'>0</span>°. Please do this, and click Submit!"
92,95,16,Theta and Degrees,16,Circle Positions,3,"How do we use the variable ? to refer to other positions around the unit circle? 
</p>
We will specify the rotation of the line in units called <i>degrees</i> that have come down to us from the 
<span class=""insert hint"" data-content=""Many believe the Babylonians divided the circle of the heavens into 360 parts because the positions of the stars appear to rotate all the way around a central point in the sky in one year, or approximately 360 days.  Thus one degree corresponds approximately to the apparent rotation of the stars in one day.""> Babylonians thousands of years ago.</span> 
</p>
(You can hover over the bold text to learn more.)"
93,96,16,Theta and Degrees,16,Circle Positions,4,"One degree corresponds to a rotation 1/360th of the way around a full circle. Given this convention, let’s consider an <i>upward</i> rotation ¼ of the way around the circle, starting from the <i>positive x-axis</i>.  
</p>
Since 360/4 is 90, a turn ¼ of the way around the circle will correspond to a rotation of <span class='insert stimulus'>90</span>°. That is, when we have proceeded a quarter of the way around the circle, our point will coincide exactly with the positive y-axis. This is the result of a 90° rotation, and also, ¼ of a full 360° rotation.  
</p>
You can perform this 90° rotation by first clicking on the circle where it meets the positive x-axis, then rotating upward until it coincides with the positive y-axis. Do this now, then click Submit."
94,97,16,Theta and Degrees,16,Circle Positions,5,"Now, click on the diagram at 90°, and then carry out another 90° rotation in the same direction, until the point coincides with the negative x-axis. Now you will have completed two 90° rotations, for a total of <span class='insert stimulus'>180</span>°, corresponding to a rotation ½ way round the circle.  Perform this rotation, then click Submit."
95,98,16,Theta and Degrees,16,Circle Positions,6,"<p>Now, click first at 180°, then rotate through another 90°, so that it coincides with the negative y-axis. Now you have completed three 90° rotations, for a total of <span class='insert stimulus'>270</span>°, corresponding to a rotation 3/4 of the way around the circle.  Perform this rotation and click Submit to proceed.</p>"
96,99,16,Theta and Degrees,16,Circle Positions,7,"<p>Finally, let’s proceed by continuing one more 90° rotation around the circle, in the same direction. Starting from the negative y-axis, a 90° rotation will carry the point back to the position where the circle intersects the positive x-axis. This will then correspond to <i>4 times 90°</i>, or <i>a full <span class='insert stimulus'>360</span>° rotation</i> around the unit circle.  </p>"
97,100,16,Theta and Degrees,16,Circle Positions,8,"Perform a rotation of 360°, observe where it ends up, and think about what it means. Do rotations of different amounts result in different positions on the circle?
<select>
<option data-explain='Usually, different rotations would result in different positions on the circle. But is it still the case if the rotations were, say, 0° and 360°?'>yes</option>
<option class='correct'>sometimes but not always</option>
<option data-explain='Actually, different rotations usually do result in different positions on the circle. For example, a 10°-rotation and a 20°-rotation would result in different positions on the circle.'>never</option>
</select>"
98,101,17,Marking and Reading Angles,17,Circle Positions,1,"Now, let’s start again at the 0° position and perform rotations upward. As we have seen, there are 90 degrees in the quarter of the circle in the first quadrant. The <i>first quadrant</i>, i.e. the upper-right quadrant in the diagram, is the region of the plane spanning from the positive x-axis to the positive y-axis.
</p>
In the diagram, we have used marks every 10 degrees between the ? = 0° position on the positive x-axis, and the ? = 90° position on the positive y-axis.  A value like ? = 65° would be half way between the 60° and 70° marks, as you proceed in the positive direction from ? = 0°.
</p>
Now, you should be able to rotate the point to positions corresponding to any value of ? between 0° and 90°. Try this now for <span class='insert stimulus'>65</span>°."
99,102,17,Marking and Reading Angles,17,Circle Positions,2,"<p>Let’s do a few more rotations on our unit circle! First, starting from 0°, perform a rotation 1/8 way round the circle. The value of this angle should be 360°/8, which is <span class='insert stimulus'>45</span>°.</p>"
100,103,17,Marking and Reading Angles,17,Circle Positions,3,"<p>Next, starting from 0° again, perform a rotation of <span class='insert stimulus'>72</span>°. This is 1/5 way round the circle.</p>"
