"","user","FigureRotation","EmbeddedFigure","LetterSets","Vocab","AddSubtract","MarkXYI","MarkXYII","MarkThetaI","MarkThetaII","Right Triangle Trig I","Right Triangle Trig II","Right Triangle Trig III","Right Triangle Trig IV","Right Triangle Trig V","TrigIDs","MA.GoodatMath","MA.ImportantDoWell","MA.NaturallyBetter","MA.EffortImportant","MA.UnderstandQuickly","MA.ThinkCarefully","MA.PlugInNum","MA.PatternsOverCalc","MA.ExcitingIntimidating","SA.ChairParts","SA.SpatialRel","SA.Diagrams","HSMath","PostHSMath"
"14",439,75,70,0.897171364823454,-0.217362761378167,84.4,30,20,25,100,0,33.3,0,11.1,0,8.3,6,6,6,6,5,6,6,3,5,5,5,6,4,4
"15",440,70,50,-0.0632668604873644,-0.756174448097385,87.5,90,80,100,100,100,100,100,33.3,22.2,25,6,7,2,6,3,7,3,4,5,5,5,6,4,0
"16",441,85,85,0.655140932045128,1.39907229877949,100,100,100,100,100,100,100,100,66.7,100,66.7,3,6,6,5,6,6,4,4,2,4,4,6,4,5
"17",442,45,65,0.655140932045128,0.143641068723709,84.4,0,10,25,83.3,0,66.7,0,0,0,41.7,1,4,7,4,6,4,1,5,1,2,3,1,5,1
"18",442,45,65,0.655140932045128,0.143641068723709,84.4,0,10,25,83.3,0,66.7,0,0,0,41.7,1,6,6,4,6,6,1,4,1,2,4,2,4,1
"19",442,45,65,0.655140932045128,0.143641068723709,84.4,0,10,25,83.3,0,66.7,0,0,0,41.7,1,6,7,4,6,7,1,3,1,5,6,4,4,0
"20",443,75,60,-0.305297293265691,0.682452755442927,87.5,10,70,33.3,83.3,0,33.3,0,0,0,33.3,6,6,6,6,5,6,5,6,6,5,6,3,4,3
"21",444,45,50,-1.26573551857651,-0.756174448097385,90.6,60,70,33.3,100,0,100,0,0,0,33.3,2,5,6,3,5,6,7,5,1,5,5,6,4,3
"22",445,50,70,1.13536004470054,0.321448925341051,68.8,10,20,33.3,91.7,0,33.3,0,0,0,41.7,5,7,7,5,6,7,5,4,4,6,5,6,2,2
"23",446,90,65,-0.0632668604873644,0.682452755442927,71.9,0,10,25,58.3,0,0,0,0,0,33.3,1,4,7,4,4,5,4,5,1,6,5,7,4,2
"24",447,75,50,-0.0632668604873644,-0.395170617995509,84.4,60,70,41.7,75,33.3,100,100,11.1,11.1,33.3,4,4,5,5,5,5,6,4,4,1,1,6,3,2
"25",448,60,45,-1.74595463123192,-2.01160567815316,90.6,0,0,58.3,100,0,0,0,0,0,33.3,4,6,6,6,7,7,7,7,4,6,5,4,3,4
"26",451,100,80,1.13536004470054,0.499256781958393,84.4,50,60,91.7,91.7,100,100,100,66.7,66.7,25,6,6,6,3,3,6,5,5,5,6,5,6,4,2
"27",452,90,60,1.13536004470054,1.39907229877949,93.8,50,70,100,91.7,0,100,100,22.2,55.6,25,3,3,6,2,6,5,3,5,2,6,6,6,4,5
"28",453,55,50,-1.74595463123192,-0.756174448097385,3.1,0,0,33.3,50,0,100,0,0,0,25,3,7,6,7,6,7,6,6,3,5,4,5,4,5
"29",455,70,70,-0.0632668604873644,0.860260612060269,84.4,100,100,58.3,83.3,100,100,100,11.1,22.2,41.7,4,3,6,2,6,6,5,5,2,4,4,5,4,3
"30",457,85,45,0.655140932045128,-1.65598996491848,90.6,60,60,25,100,100,100,100,33.3,44.4,41.7,6,4,7,4,3,6,5,5,4,7,5,5,3,4
"31",459,60,65,0.413110499266802,0.682452755442927,87.5,30,70,66.7,100,100,100,100,22.2,0,50,5,5,4,5,6,4,5,5,5,6,4,6,5,5
"32",460,60,80,1.13536004470054,0.860260612060269,96.9,60,100,25,91.7,100,100,100,11.1,55.6,33.3,5,2,6,5,2,6,6,6,2,6,6,6,3,4
"33",461,70,50,0.897171364823454,0.682452755442927,84.4,90,90,91.7,100,100,100,100,0,22.2,25,6,7,6,5,5,6,7,4,6,2,4,6,4,1
"34",462,95,70,0.174921819389719,-1.11717827819926,93.8,50,90,91.7,100,0,100,100,0,0,16.7,2,6,5,4,4,4,5,3,2,4,2,4,4,5
"35",463,45,65,0.655140932045128,-0.395170617995509,100,80,70,41.7,91.7,0,66.7,0,11.1,11.1,25,7,6,6,1,6,6,3,4,6,7,6,6,3,3
"36",464,30,65,-1.50776595135483,-1.2949861348166,87.5,20,50,25,58.3,0,33.3,0,0,0,25,5,4,7,5,3,7,7,7,4,7,7,3,4,1
"37",465,90,50,0.174921819389719,-0.0395549047608254,78.1,10,20,75,100,100,100,100,0,0,8.3,5,6,7,3,5,6,5,5,3,5,5,6,4,1
"38",466,80,45,-1.984143311109,0.860260612060269,100,60,80,25,100,0,100,0,0,0,41.7,5,6,6,6,2,6,2,4,4,6,6,6,3,0
"39",467,85,55,0.897171364823454,-1.2949861348166,90.6,0,50,25,58.3,0,33.3,0,0,0,25,6,6,5,7,4,7,6,6,6,4,4,7,3,3
"40",468,65,70,1.13536004470054,1.03806846867761,87.5,70,50,25,100,0,100,100,11.1,0,8.3,1,5,7,2,6,5,4,7,1,6,2,5,1,2
"41",469,90,85,-0.7855164059211,0.682452755442927,59.4,30,0,91.7,100,100,100,100,33.3,33.3,41.7,6,6,6,5,3,6,6,6,6,6,6,6,4,2
"42",470,70,70,0.897171364823454,-1.47279399143394,96.9,80,80,100,100,100,100,100,44.4,55.6,66.7,6,7,5,6,6,5,6,6,6,7,3,7,5,1
"43",471,40,40,-2.22617374388733,-2.1948016516377,62.5,0,0,33.3,58.3,0,0,0,0,0,33.3,6,6,4,5,4,6,3,2,5,2,3,5,5,5
"44",472,60,85,1.13536004470054,1.22126444216214,93.8,90,100,100,100,100,100,100,55.6,66.7,33.3,6,7,5,5,5,6,5,5,6,6,4,5,4,5
"45",473,55,50,-0.7855164059211,-1.11717827819926,37.5,0,0,25,100,0,33.3,0,0,0,41.7,3,6,6,6,6,7,6,6,4,6,5,5,2,2
"46",474,55,55,0.174921819389719,1.03806846867761,90.6,60,60,25,100,0,100,0,11.1,11.1,41.7,3,5,7,3,6,6,6,4,1,6,6,6,4,4
"47",475,65,65,-1.50776595135483,1.57688015539683,90.6,30,70,91.7,100,100,100,100,0,22.2,25,4,3,6,6,6,6,4,5,4,6,6,3,2,0
"48",476,65,75,0.655140932045128,1.57688015539683,78.1,60,50,66.7,100,0,66.7,0,55.6,55.6,25,2,6,7,6,4,6,5,4,2,5,3,6,2,0
"49",476,65,75,0.655140932045128,1.57688015539683,78.1,60,50,66.7,100,0,66.7,0,55.6,55.6,25,4,7,7,2,7,4,4,4,2,5,4,6,2,NA
"50",477,95,80,0.897171364823454,-0.756174448097385,96.9,80,60,100,100,100,100,100,100,100,100,6,6,7,4,6,5,5,7,6,6,6,6,5,5
"51",478,95,70,1.13536004470054,1.22126444216214,100,70,90,25,100,0,100,100,0,66.7,8.3,4,3,6,5,5,5,5,6,3,3,4,6,4,1
"52",479,95,70,0.413110499266802,1.22126444216214,96.9,80,50,91.7,100,100,100,100,22.2,44.4,41.7,6,7,2,7,2,7,5,7,7,7,7,7,5,5
"53",480,75,70,1.13536004470054,0.499256781958393,96.9,80,50,91.7,91.7,66.7,100,0,11.1,22.2,58.3,5,5,6,3,5,6,2,5,3,3,5,6,2,1
"54",481,40,60,-0.305297293265691,-0.217362761378167,90.6,10,20,100,100,0,0,100,0,0,50,7,7,4,4,4,5,5,4,7,7,4,4,3,4
"55",483,75,40,-0.7855164059211,-1.2949861348166,93.8,0,20,83.3,100,100,100,0,0,0,25,5,6,7,5,7,6,2,5,4,4,5,5,5,3
"56",484,50,50,-0.7855164059211,-1.11717827819926,28.1,0,0,25,83.3,0,33.3,0,0,0,16.7,5,5,5,6,4,7,5,4,3,4,5,5,3,1
"57",485,75,55,-2.22617374388733,-2.01160567815316,0,0,10,25,58.3,0,0,0,0,0,33.3,1,2,3,5,3,2,5,1,7,1,1,4,4,0
"58",486,95,65,0.655140932045128,1.76007612888136,96.9,80,100,25,100,0,100,100,0,11.1,33.3,4,6,6,6,4,7,2,6,6,6,5,7,3,2
"59",487,90,55,0.413110499266802,-0.0395549047608254,68.8,70,90,25,100,66.7,100,100,0,0,50,2,4,7,6,6,6,3,5,2,5,6,6,3,2
"60",488,90,65,0.655140932045128,0.143641068723709,96.9,60,100,25,100,0,100,0,0,0,25,5,5,2,6,2,5,3,6,5,5,6,7,4,0
"61",489,85,75,0.413110499266802,1.22126444216214,93.8,70,90,25,100,0,100,0,11.1,0,25,4,4,7,6,3,6,3,7,6,7,7,5,4,2
"62",490,65,75,0.897171364823454,0.682452755442927,90.6,90,90,100,100,100,100,100,33.3,33.3,41.7,5,4,6,6,4,6,5,4,4,7,6,6,4,1
"63",490,65,75,0.897171364823454,0.682452755442927,90.6,90,90,100,100,100,100,100,33.3,33.3,41.7,6,6,6,5,3,6,6,5,3,6,5,6,3,2
"64",491,80,75,0.655140932045128,1.76007612888136,96.9,50,80,100,91.7,0,100,100,0,0,50,1,1,7,4,6,3,6,6,1,1,2,6,5,1
"65",492,70,60,-0.0632668604873644,1.57688015539683,96.9,20,70,100,100,100,100,100,33.3,22.2,16.7,5,7,3,7,2,5,5,6,4,6,6,6,4,4
"66",493,65,45,0.897171364823454,0.499256781958393,87.5,50,90,100,100,0,100,100,22.2,33.3,41.7,4,7,6,3,6,7,2,5,4,4,3,5,5,3
"67",494,70,50,0.897171364823454,-0.217362761378167,75,0,50,33.3,100,0,33.3,0,0,0,33.3,3,6,6,6,6,6,2,6,2,5,4,5,4,4
"68",494,70,50,0.897171364823454,-0.217362761378167,75,0,50,33.3,100,0,33.3,0,0,0,33.3,3,5,5,4,5,6,6,6,2,5,6,6,4,3
"69",495,85,45,0.897171364823454,-0.0395549047608254,84.4,60,70,41.7,83.3,0,33.3,0,44.4,55.6,58.3,3,6,5,4,5,6,5,5,3,5,5,6,2,5
"70",496,60,70,1.13536004470054,1.22126444216214,96.9,90,70,83.3,91.7,100,100,100,66.7,66.7,41.7,6,7,5,6,6,7,6,5,6,5,6,5,4,5
"71",498,75,80,0.897171364823454,1.22126444216214,96.9,80,60,100,100,100,100,100,88.9,100,100,6,6,6,4,5,6,2,6,4,6,6,6,4,4
"72",499,95,85,1.13536004470054,0.321448925341051,96.9,100,100,100,100,100,100,100,0,77.8,33.3,3,6,5,6,5,6,4,4,3,2,2,6,3,1
"73",499,95,85,1.13536004470054,0.321448925341051,96.9,100,100,100,100,100,100,100,0,77.8,33.3,2,6,6,6,5,7,3,4,2,3,3,6,4,1
"74",500,70,60,-1.02370508579818,0.860260612060269,78.1,30,40,33.3,100,0,100,0,0,0,33.3,7,7,6,5,6,6,6,6,4,4,5,6,4,1
"75",502,65,65,0.655140932045128,0.499256781958393,84.4,90,100,100,100,100,100,100,11.1,11.1,41.7,6,5,6,4,5,6,5,3,4,5,3,6,5,1
"76",503,60,40,-0.7855164059211,-0.578366591480043,93.8,30,30,75,91.7,0,66.7,66.7,0,0,33.3,4,6,5,4,4,6,5,4,3,5,5,5,4,3
"77",503,60,40,-0.7855164059211,-0.578366591480043,93.8,30,30,75,91.7,0,66.7,66.7,0,0,33.3,2,4,5,4,4,5,5,4,2,2,4,6,4,1
"78",503,60,40,-0.7855164059211,-0.578366591480043,93.8,30,30,75,91.7,0,66.7,66.7,0,0,33.3,3,5,5,4,5,4,4,5,2,4,4,5,4,3
"79",503,60,40,-0.7855164059211,-0.578366591480043,93.8,30,30,75,91.7,0,66.7,66.7,0,0,33.3,4,4,5,4,4,7,4,5,2,5,5,5,4,3
"80",504,100,80,1.13536004470054,1.03806846867761,100,90,80,25,100,0,100,100,22.2,22.2,25,4,6,7,5,4,5,2,2,2,1,3,1,3,2
"81",505,65,50,0.413110499266802,0.321448925341051,93.8,50,50,25,91.7,0,33.3,0,0,0,8.3,4,5,5,4,4,5,5,3,3,4,5,5,5,1
"82",506,65,45,-1.26573551857651,-2.01160567815316,81.2,0,0,83.3,91.7,0,0,0,0,0,41.7,6,7,6,5,6,6,6,4,5,2,2,2,2,2
"83",507,65,60,-0.0632668604873644,-0.0395549047608254,75,60,70,33.3,100,100,100,100,0,0,41.7,2,6,6,6,6,6,3,5,1,4,5,5,1,1
"84",508,50,40,0.413110499266802,-1.83379782153582,90.6,80,30,25,75,0,100,0,22.2,11.1,33.3,5,5,5,5,5,4,5,4,5,5,5,5,2,3
"85",508,50,40,0.413110499266802,-1.83379782153582,90.6,80,30,25,75,0,100,0,22.2,11.1,33.3,5,6,4,5,5,4,5,4,5,5,5,5,3,5
"86",509,95,70,0.897171364823454,-0.0395549047608254,87.5,90,90,100,100,100,100,100,55.6,55.6,58.3,5,6,5,6,3,7,5,6,4,5,3,5,4,5
"87",510,70,60,-1.50776595135483,0.499256781958393,75,10,0,25,100,0,100,0,0,0,8.3,5,7,7,5,4,7,2,5,1,6,4,7,4,2
"88",511,60,60,1.13536004470054,0.143641068723709,93.8,60,70,25,100,0,100,0,0,0,16.7,6,7,6,3,5,7,5,6,6,6,4,5,4,0
"89",512,95,95,1.13536004470054,1.22126444216214,96.9,90,90,33.3,100,100,100,100,77.8,100,66.7,6,7,7,7,1,6,1,6,7,7,6,7,4,5
"90",513,60,75,-0.305297293265691,0.499256781958393,75,0,0,33.3,66.7,0,0,0,0,0,8.3,1,5,6,7,7,7,6,4,2,5,5,5,1,4
"91",514,65,40,-0.547327726044017,-0.578366591480043,93.8,60,50,33.3,91.7,0,33.3,0,0,0,8.3,3,3,5,7,5,7,6,5,2,4,5,7,4,4
"92",515,85,55,1.13536004470054,-0.578366591480043,93.8,20,60,100,100,0,100,100,44.4,44.4,41.7,1,1,6,2,6,6,6,2,2,4,4,4,4,1
"93",515,85,55,1.13536004470054,-0.578366591480043,93.8,20,60,100,100,0,100,100,44.4,44.4,41.7,1,4,6,1,5,7,6,5,2,1,3,4,4,2
"94",516,70,65,0.897171364823454,0.321448925341051,81.2,80,90,25,100,0,100,0,0,66.7,33.3,1,5,7,2,4,6,2,4,2,5,4,6,3,1
"95",517,80,50,-0.305297293265691,-0.217362761378167,71.9,30,70,25,100,0,33.3,0,0,0,33.3,3,6,7,5,3,6,4,4,4,7,4,7,3,3
"96",518,55,40,-1.50776595135483,-0.933982304714727,59.4,0,0,58.3,66.7,0,0,0,0,0,8.3,2,6,7,7,6,5,2,4,1,3,4,5,4,2
"97",519,50,45,-1.02370508579818,-2.01160567815316,56.2,0,20,25,83.3,0,100,0,0,0,50,1,1,7,1,7,5,3,1,1,3,4,1,4,4
"98",521,85,60,0.897171364823454,0.682452755442927,93.8,80,100,91.7,91.7,100,100,100,0,0,8.3,5,4,6,4,5,5,4,4,2,5,4,4,3,2
"99",522,55,65,-0.0632668604873644,-0.217362761378167,46.9,10,10,33.3,100,0,0,0,0,0,33.3,4,6,6,6,6,6,4,6,3,5,5,4,4,5
"100",523,80,60,-1.74595463123192,-2.1948016516377,6.2,0,0,41.7,50,0,0,0,0,0,33.3,6,7,7,4,7,7,3,6,3,5,6,6,4,1
"101",524,80,65,-0.305297293265691,0.860260612060269,87.5,70,80,25,100,0,100,0,11.1,0,16.7,5,6,6,3,6,7,6,4,2,3,4,4,3,2
"102",525,80,70,-0.547327726044017,0.499256781958393,90.6,0,20,100,100,100,100,100,11.1,33.3,25,5,5,3,4,5,5,5,3,3,5,4,4,4,5
"103",528,80,70,1.13536004470054,1.03806846867761,90.6,70,70,25,100,33.3,100,100,66.7,77.8,50,2,7,7,3,6,6,3,4,1,5,5,5,4,3
"104",529,95,65,0.413110499266802,0.321448925341051,87.5,70,100,58.3,100,100,100,100,0,66.7,25,6,6,6,5,5,6,5,5,6,6,6,5,4,4
"105",530,80,55,-1.984143311109,-1.47279399143394,100,60,60,25,50,0,0,0,0,0,33.3,6,5,7,5,4,6,6,6,5,6,5,5,4,1
"106",531,45,40,1.13536004470054,0.860260612060269,96.9,80,50,100,100,100,100,100,22.2,55.6,41.7,5,7,6,6,6,7,5,4,5,6,5,6,5,0
"107",533,55,50,-1.50776595135483,-0.0395549047608254,100,10,0,25,75,0,100,66.7,11.1,0,25,1,5,7,2,7,7,6,5,1,2,2,5,3,4
"108",534,80,65,0.413110499266802,0.143641068723709,84.4,40,40,25,91.7,0,66.7,0,0,0,25,5,5,6,5,5,7,3,5,2,4,7,7,4,3
"109",535,70,65,0.655140932045128,-0.395170617995509,87.5,30,50,33.3,100,100,66.7,100,0,33.3,50,4,6,6,3,4,6,3,4,5,5,4,7,5,3
"110",536,75,90,0.655140932045128,1.03806846867761,96.9,90,100,91.7,100,100,100,100,0,66.7,16.7,6,6,6,7,4,6,2,5,6,6,6,7,3,4
"111",537,100,65,1.13536004470054,1.22126444216214,96.9,70,70,25,100,33.3,100,66.7,44.4,66.7,58.3,1,6,6,6,4,6,7,1,1,2,1,2,3,3
"112",538,65,50,-0.305297293265691,-1.65598996491848,34.4,0,10,25,100,0,100,0,0,0,8.3,4,5,7,2,6,7,5,5,2,6,6,6,3,3
"113",539,60,50,1.13536004470054,1.22126444216214,81.2,20,70,33.3,100,0,66.7,0,0,0,25,3,4,5,4,4,5,5,4,2,6,5,4,4,2
"114",540,85,85,0.897171364823454,1.57688015539683,96.9,80,60,25,100,100,100,100,0,0,25,5,4,5,3,6,6,6,5,2,5,5,3,4,3
"115",541,60,70,-0.0632668604873644,1.57688015539683,68.8,0,30,25,91.7,0,100,0,0,44.4,41.7,2,3,5,4,3,5,5,3,3,6,6,6,3,3
"116",542,90,65,0.897171364823454,1.57688015539683,96.9,100,80,25,91.7,33.3,100,100,11.1,11.1,16.7,5,2,7,3,2,7,2,2,1,6,5,4,4,1
"117",543,80,60,-1.02370508579818,-0.756174448097385,96.9,90,90,33.3,100,100,100,100,11.1,0,33.3,5,5,6,3,3,4,6,4,4,6,5,5,4,2
"118",543,80,60,-1.02370508579818,-0.756174448097385,96.9,90,90,33.3,100,100,100,100,11.1,0,33.3,4,5,6,2,6,2,6,4,4,5,4,6,4,0
"119",544,90,75,1.13536004470054,-0.217362761378167,93.8,80,90,25,100,100,100,100,100,77.8,58.3,7,5,2,2,6,6,7,7,5,5,5,7,3,4
"120",545,55,55,0.174921819389719,0.321448925341051,65.6,60,30,25,83.3,33.3,0,0,0,0,33.3,5,4,4,5,5,5,5,5,3,5,5,5,4,3
"121",546,60,50,0.897171364823454,0.321448925341051,96.9,40,70,41.7,100,0,0,0,0,0,8.3,5,4,4,6,5,6,4,4,2,5,5,5,1,0
"122",547,80,65,1.13536004470054,0.860260612060269,81.2,40,80,41.7,100,0,100,0,0,11.1,41.7,4,5,7,4,6,6,4,5,4,6,5,4,5,4
"123",548,30,65,0.897171364823454,0.860260612060269,100,20,80,41.7,66.7,0,66.7,0,0,0,16.7,5,6,5,7,5,7,5,6,3,6,5,4,3,3
"124",549,70,75,0.413110499266802,-0.756174448097385,84.4,60,60,66.7,83.3,0,100,0,22.2,11.1,41.7,4,5,7,4,6,6,2,5,4,5,5,6,3,2
"125",550,60,50,-1.02370508579818,-1.11717827819926,65.6,0,0,25,91.7,0,33.3,0,0,0,41.7,3,7,6,3,6,6,3,3,3,3,5,6,3,1
"126",551,70,80,1.13536004470054,0.860260612060269,81.2,60,80,25,100,0,100,100,0,22.2,25,5,6,5,7,5,6,5,5,3,5,4,6,4,1
"127",551,70,80,1.13536004470054,0.860260612060269,81.2,60,80,25,100,0,100,100,0,22.2,25,5,7,6,7,5,6,5,5,4,5,4,6,4,1
"128",551,70,80,1.13536004470054,0.860260612060269,81.2,60,80,25,100,0,100,100,0,22.2,25,3,6,6,6,5,6,4,4,5,5,5,5,4,1
"129",552,45,55,-1.50776595135483,-0.756174448097385,43.8,0,20,25,83.3,0,0,0,0,0,33.3,6,7,7,2,7,7,3,2,7,6,4,4,3,1
"130",553,35,75,-1.984143311109,-1.47279399143394,81.2,0,0,41.7,25,0,66.7,0,0,0,41.7,2,4,6,6,6,5,5,5,5,6,5,7,3,1
"131",554,80,45,-0.305297293265691,0.321448925341051,9.4,50,40,25,100,0,66.7,0,0,0,58.3,5,5,4,4,5,5,3,5,4,6,6,6,4,1
"132",555,85,75,1.13536004470054,1.57688015539683,100,100,100,100,100,100,100,100,100,100,83.3,6,6,2,7,4,6,2,4,6,6,6,6,5,1
"133",555,85,75,1.13536004470054,1.57688015539683,100,100,100,100,100,100,100,100,100,100,83.3,6,6,2,7,3,7,2,5,7,5,3,6,5,3
"134",556,80,65,-0.305297293265691,-0.217362761378167,93.8,90,90,25,100,0,0,0,0,0,41.7,4,4,7,3,6,5,5,6,5,5,4,6,5,5
"135",556,80,65,-0.305297293265691,-0.217362761378167,93.8,90,90,25,100,0,0,0,0,0,41.7,3,3,2,3,7,5,2,6,5,6,5,6,5,5
"136",557,85,45,-1.74595463123192,-0.395170617995509,81.2,60,70,25,75,0,100,0,0,0,33.3,2,1,3,2,5,7,7,3,1,5,4,7,2,2
"137",558,90,55,0.655140932045128,1.22126444216214,90.6,10,90,25,100,0,100,0,0,0,41.7,5,5,7,2,6,6,3,5,5,5,5,5,3,5
"138",560,70,70,0.655140932045128,1.76007612888136,87.5,40,60,25,100,100,100,100,22.2,11.1,25,2,2,6,5,6,6,5,6,2,5,5,5,2,5
"139",561,90,85,1.13536004470054,1.76007612888136,93.8,60,80,25,100,0,100,100,11.1,11.1,41.7,3,5,7,6,4,6,4,4,2,5,6,7,3,1
"140",562,70,75,1.13536004470054,1.22126444216214,87.5,70,60,83.3,75,100,100,100,0,0,41.7,5,5,6,6,2,7,6,2,2,3,4,5,3,2
"141",563,95,95,0.413110499266802,1.39907229877949,93.8,60,90,100,100,100,100,100,0,0,33.3,5,6,6,3,4,6,5,7,4,5,3,6,4,1
"142",564,75,85,1.13536004470054,-0.217362761378167,100,90,60,100,100,100,100,100,33.3,33.3,50,6,5,6,5,6,4,4,5,3,6,6,6,3,3
"143",565,65,25,-0.547327726044017,1.22126444216214,96.9,0,70,25,83.3,0,100,66.7,11.1,11.1,16.7,5,4,5,1,2,6,4,5,3,5,6,6,3,0
"144",566,80,70,-0.547327726044017,-0.578366591480043,100,10,20,100,100,66.7,66.7,66.7,0,0,41.7,6,6,2,6,6,6,6,6,6,6,6,6,5,5
"145",567,90,50,1.13536004470054,0.143641068723709,100,70,60,41.7,100,0,100,100,11.1,11.1,16.7,6,6,6,5,6,6,3,5,6,5,5,5,5,3
"146",568,50,50,-1.50776595135483,-0.217362761378167,90.6,0,0,41.7,66.7,0,100,0,0,0,25,2,5,5,6,3,5,5,4,2,5,5,5,4,2
"147",570,90,85,0.413110499266802,-0.756174448097385,93.8,30,10,91.7,100,100,33.3,100,44.4,33.3,8.3,6,6,6,6,6,7,6,6,6,6,6,6,4,0
"148",570,90,85,0.413110499266802,-0.756174448097385,93.8,30,10,91.7,100,100,33.3,100,44.4,33.3,8.3,6,5,6,5,5,5,5,5,5,5,4,5,1,NA
"149",570,90,85,0.413110499266802,-0.756174448097385,93.8,30,10,91.7,100,100,33.3,100,44.4,33.3,8.3,6,5,6,4,3,6,5,5,4,6,3,5,1,3
"150",570,90,85,0.413110499266802,-0.756174448097385,93.8,30,10,91.7,100,100,33.3,100,44.4,33.3,8.3,1,1,1,1,1,1,1,1,1,4,4,4,6,6
"151",571,75,70,-1.02370508579818,-1.65598996491848,71.9,10,20,83.3,100,33.3,100,33.3,0,22.2,58.3,7,7,7,6,6,7,6,6,6,7,6,6,5,5
"152",572,60,60,-0.547327726044017,-0.756174448097385,43.8,0,10,33.3,91.7,0,100,0,0,0,33.3,6,6,6,5,3,6,6,5,3,3,3,6,3,3
"153",574,85,80,0.897171364823454,-0.578366591480043,84.4,60,80,100,100,0,0,0,0,0,33.3,1,3,4,1,6,6,7,1,4,7,5,7,2,1
"154",575,95,45,0.897171364823454,-1.83379782153582,84.4,0,50,33.3,75,0,66.7,0,0,0,50,5,6,6,6,6,7,5,5,3,5,4,6,3,3
"155",577,55,55,-1.02370508579818,-0.217362761378167,78.1,40,50,66.7,91.7,0,100,0,0,0,8.3,1,6,7,1,7,6,5,6,1,3,6,6,4,4
"156",578,75,30,-0.7855164059211,-0.756174448097385,65.6,0,40,25,91.7,0,100,0,0,0,8.3,1,6,7,4,6,6,3,5,1,5,6,2,2,0
"157",579,100,90,0.897171364823454,0.860260612060269,96.9,50,90,25,100,0,100,0,66.7,66.7,100,6,6,6,2,2,6,2,7,6,6,6,7,5,5
"158",580,90,80,0.897171364823454,1.22126444216214,71.9,50,80,41.7,100,33.3,100,0,0,0,8.3,5,5,5,4,2,6,2,5,5,6,4,5,4,3
"159",582,70,40,-2.22617374388733,-1.47279399143394,96.9,0,0,25,25,0,0,0,0,0,33.3,1,3,7,3,6,3,3,3,1,6,6,3,5,5
"160",583,65,40,0.174921819389719,-1.47279399143394,81.2,50,70,25,100,0,66.7,0,0,0,25,6,7,7,7,7,7,6,6,6,6,5,7,4,2
"161",584,85,35,0.897171364823454,-1.47279399143394,87.5,70,80,100,100,100,100,100,66.7,100,41.7,6,7,5,7,5,7,6,6,6,3,4,5,2,5
"162",585,65,45,0.655140932045128,1.22126444216214,81.2,40,40,100,100,0,0,0,0,0,41.7,5,7,7,2,5,7,7,3,1,6,4,7,3,0
