id_code,cohort,start_time,end_time,duration,USborn,18plus,RUniYrs,School year,major,ratereading,ratewriting,ratespeaking,accent,born outside,engfirst,polideo,partypick,agecomeus,ssn,religion,othrel,denom,collcredits,englevel,firstlang,prevexp,expparticip,firstlogin,FathEd,FathOcc,MothEd,Income,class,gender,SelfIncome,marital,comfyspkreadeng,turn18quarter,gpa,mothocc,closerparty,Ethnic,hispdetail,hispother,asiandetail,asianother,ethdenomination,affirmgoodfaith,usemydata,birthdate,plan4yearuni,age,wheremomborn,wheremomraised,wheredadborn,wheredadraised,stateborn,Motheth,mothethexp,fatheth,fathethexp,socpsychclass,missionfoothill,majorconc,highestdegstrin,otherdegree,SES,acknowledge,SDO1,SDO2,SDO3,SDO4,SDO5,SDO6,learnid_1,learnid_2,learnid_3,gms.in_1,gms.in_2,wmnpromote,geninequalex,geninequalprob,geninequalhigh,discrimnoprob,discrimjobs,sexisttv,menwomeneq,womenmenop,opsociety,allgrpadvance,lowtohighstatus,certaingroups,definementor,hopementee,goalsmentor,somementor,benfitmentor,gaystraight,pellgrant,declaremaj,changingmaj,commonmaj,howbalancdist,underforty,averagpersdist,typicalsucdist,typicalunsuc,genderhappens,oppgender,govpolicydont,unfairfavorgen,risefallgender,uniquegender,govpolicybad,SEC532,SEC533,chairparts,spatialrel,diagrams,math1,math2,math3,math4,math5,math6,math7,math8,math9,math10,math11,math14,math15,math16,howmanymath,mathposthigh
64237,Fall17,9/26/2017 22:40,9/26/2017 23:03,23,1,1,5,7,Communication Studies,3,3,3,1,N/A,1,5,7,0,1,2,n/a,2,160,5,English,1,[Decline to Answer],"Yes,  I have been in the REP before and this is my original REP account",5,insurance broker,6,11,5,2,3,1,1,2,3.7,phlebotomist,4,4,8,n/a,4,n/a,n/a,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",10/11/1994,7,22,Philippines,Philippines,Philippines,Philippines,CA,4,Filipino,4,Filipino,1,1,10,5,[Decline to Answer],6,1,3,2,2,5,4,5,4,3,4,1,5,5,5,5,3,3,5,1,3,3,6,7,6,5,A mentor is someone who guides you through transitional stages in life,guidance on important decisions,graduate school and future careers,1,helping me make decisions that greatly impact my life,2,1,1,[Decline to Answer],[Decline to Answer],25,1,40,30,25,6,3,3,5,2,3,6,120,28,5,2,5,5,6,6,7,6,3,3,5,5,2,calculus,"1, 2, 3, 4, 5",Calculus in 2014,[Decline to Answer],4,2
65449,Fall17,9/28/2017 21:05,9/28/2017 21:24,19,1,1,2,3,Business Administration,5,5,5,0,N/A,1,7,2,0,1,2,N/A,4,75.5,5,English,1,Online,"Yes,  I have been in the REP before and this is my original REP account",5,Police officer,5,11,4,2,14,3,1,2,398,Commercial operations manager,4,1,8,N/A,7,N/A,N/A,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",6/18/1997,2,20,"Milwaukee, Wisconsin, United States","Grand Rapids, Michigan, United States","Holland, Michigan, United States","Grandville, Michigan, United States",Michigan,1,N/A,1,N/A,1,2,10,3,[Decline to Answer],8,1,2,4,2,2,5,3,4,4,5,3,5,6,3,2,2,5,3,3,6,5,7,6,5,3,Someone who guides you through a new situation that they are experienced in.,Understanding,[Decline to Answer],2,[Decline to Answer],2,2,1,"No, I do not need a degree for my job.",Lack of career opportunity.,50,1,40,50,5,2,3,3,5,2,6,3,145,24,6,5,5,6,6,7,4,6,5,4,5,5,2,Intermediate Algebra,1,2016,[Decline to Answer],3,1
66190,Fall17,10/5/2017 13:26,10/5/2017 14:02,36,1,1,6,7,sociology,5,5,5,1,n/a,1,8,1,0,1,7,N/A,2,211,5,[Decline to Answer],1,[Decline to Answer],"Yes,  I have been in the REP before and this is my original REP account",1,carpenter,1,3,3,2,14,1,1,2,3.3,house wife,4,3,1,N/A,7,N/a,N/a,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",7/10/1964,4,53,San Antonio Texas,[Decline to Answer],San Antonio Texas,San Antonio Texas,california,3,N/a,3,N/A,1,2,10,2,[Decline to Answer],5,1,4,4,4,4,6,7,6,5,6,2,5,5,5,6,4,3,5,2,3,3,5,5,6,6,some one who is guiding and helping you with discussions.,[Decline to Answer],[Decline to Answer],1,[Decline to Answer],2,,2,[Decline to Answer],[Decline to Answer],45,2,40,45,30,6,4,5,2,5,5,6,160,33,6,6,5,4,6,6,5,4,6,4,5,3,2,210,1,[Decline to Answer],[Decline to Answer],3,5
66439,Fall17,10/6/2017 13:50,10/6/2017 14:07,17,1,1,2,4,child development,3,3,3,1,n/a,1,4,1,0,1,2,n/a,2,84,5,[Decline to Answer],0,n/a,"Yes,  I have been in the REP before and this is my original REP account",3,n/a,2,5,2,2,3,1,1,2,3.2,n/a,4,3,6,n/a,7,n/a,n/a,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",7/7/1993,6,24,new jersey,"san jose,ca","san jose,ca","san jose,ca",CA,1,russian,3,n/a,2,1,10,4,[Decline to Answer],5,1,6,5,5,7,7,7,5,5,5,5,5,5,6,6,6,2,2,2,2,2,6,5,5,5,teach you and guide you,new ideas and approaches,[Decline to Answer],2,[Decline to Answer],2,1,1,no,not making enough money in job,25,1,25,25,25,6,5,5,2,5,5,5,100,33,6,6,5,3,5,6,4,5,6,5,5,3,2,n/a,"1, 2, 5",stats 2017,[Decline to Answer],3,3
67324,Fall17,9/28/2017 20:17,9/28/2017 21:04,47,1,1,4,8,sociology,5,5,5,1,n/a,1,2,1,0,1,2,N/A,2,>150,5,yes,1,Only Stanford REP,"Yes,  I have been in the REP before and this is my original REP account",5,Real Estate Agent,4,8,5,2,7,1,1,2,3.7,Registered Nurse,4,4,8,n/a,4,N/A,N/A,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",8/27/1989,7,28,The Philippines,The Philippines,Indonesia,indonesia,CA,4,Filipino,4,Chinese and Indonesian,1,2,10,5,[Decline to Answer],7,1,1,1,1,7,7,4,3,4,3,2,6,6,7,7,7,2,6,2,1,2,5,5,6,3,A person you look up to who provides guidance,guidance,plan for success,2,[Decline to Answer],2,1,1,No,Found a better fit,25,1,45,25,25,6,6,1,6,6,2,6,120,33,5,4,5,5,5,5,3,2,6,2,2,2,2,AP statistics,"1, 2, 3, 5",Statistics 2007,[Decline to Answer],4,1
67408,Fall17,9/28/2017 11:48,9/28/2017 12:10,22,1,1,4,5,Sociology,5,3,4,0,N/A,1,2,1,0,1,1,N/A,1,95,5,English,0,N/A,"Yes,  I have been in the REP before and this is my original REP account",1,Construction Worker,2,2,2,1,1,1,1,2,3,Hair Stylist,4,4,8,N/A,5,N/A,N/A,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",11/28/1995,6,21,"Hue, Vietnam","Hue, Vietnam","Hue, Vietnam","Hue, Vietnam",CA,4,Vietnamese,4,Vietnamese,1,2,10,4,[Decline to Answer],5,1,2,1,1,7,6,7,5,6,5,2,5,3,6,6,5,2,5,2,3,4,3,6,7,5,Someone who pushes you to be a better person than you are now,How to be a more positive and self-improving independent person,Being more self-reliant and motivated to work hard,2,[Decline to Answer],2,1,1,"I have not, because I love and have a ton of fun studying Sociology",Losing interest or realizing that their major isn't meant for them,30,1,40,50,25,6,7,2,5,5,4,7,145,36,5,6,7,6,6,7,3,6,7,7,5,4,2,Statistics,"1, 2, 3, 5",Statistics in 2016,[Decline to Answer],4,2
67717,Fall17,10/4/2017 18:53,10/4/2017 19:48,55,0,1,2 years,4,Health Administration,3,4,4,1,Mexico,0,4,1,1,1,2,N/A,2,193.5,4,Spanish,1,Foothill College,"Yes,  I have been in the REP before and this is my original REP account",2,Contractor,3,8,2,2,2,3,1,2,3.07,House Wife,4,3,1,N/A,7,N/A,N/A,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",4/17/1989,6,28,Mexico City,Mexico city,Mexico City,Mexico City,Mexico City,3,Mexican,3,Mexican,2,2,10,3,[Decline to Answer],5,1,1,3,3,5,7,7,3,4,3,3,6,6,4,4,4,5,3,5,6,5,6,6,6,4,Someone who guides you through out your academic goals.,I would like to get good advice on how to continue my education journey and guidance.,"What classes to take for my degree, how to deal with everyday obstacles during school and how to time manage properly.",1,My mentor helps me check in within myself at least once a week. Makes me write down my goals and helps me check them off. One of the main goal we have worked toward is not over thinking and just doing it. I tend to overthink everything and get in my head,2,2,1,No because im very interested in Health Administration,I think the most common reason why someone would change majors is because they found a new intrest in careers.,50,1,60,60,35,4,2,5,3,2,6,6,205,28,3,4,6,5,6,6,5,4,7,5,5,3,1,Micro Economics and last quarter i took intermediate Algebra,1,"Algebra 2, summer quarter",[Decline to Answer],3,5
67915,Fall17,9/30/2017 14:10,9/30/2017 14:35,25,0,1,2,3,Child Development and Sociology,3,3,3,1,Mexico,0,2,6,1,1,2,N/A,2,94.5,4,spanish,0,[Decline to Answer],"Yes,  I have been in the REP before and this is my original REP account",3,Landscaper,1,5,2,2,14,1,1,2,3.08,Janitor,2,3,1,N/A,7,N/A,N/A,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",8/21/1997,6,20,"Michocan,Apatzigan, Mexico","Michoacan, Apatzigan, Mexico","Michocan, Apatzigan, Mexico","Veracruz, Mexico",Mx,3,N/A,3,N/A,1,2,10,3,[Decline to Answer],3,1,1,1,1,7,7,7,3,3,3,1,6,5,6,6,5,2,5,2,2,2,3,2,6,6,A person who you look up to and who gives you advice in what you should do to achieve your goals.,Learn how to achieve my goals and meet people who share common interests as me.,[Decline to Answer],2,[Decline to Answer],2,2,1,No because so far I like the major that I am in.,They take a class that they fall in love and realize they have been taking the wrong classes.,25,1,35,25,0,6,4,2,5,3,4,6,85,30,3,5,5,5,4,5,4,4,5,2,5,3,2,Statistics,"1, 2, 5","Algebra 2010, Geometry 2012, Statistics 2015",[Decline to Answer],4,1
68257,Fall17,9/30/2017 11:29,9/30/2017 11:49,20,1,1,2,3,Psychology,4,4,4,0,Na,1,8,4,0,1,7,Na,1,4?,4,[Decline to Answer],1,Rep,"Yes,  I have been in the REP before and this is my original REP account",1,No,5,3,2,2,3,1,1,2,Not sure,Teacher,3,7,1,Spanish,1,Na,Na,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",11261993,2,23,"San jose, ca",Morgan hill,Piedras negras,San jose,Ca,1,White,3,Mixed,2,1,10,2,[Decline to Answer],5,1,2,1,2,6,7,7,5,5,4,1,6,5,6,6,6,3,5,1,4,3,5,5,5,5,Teacher,To learn,Learn things,1,[Decline to Answer],,1,1,No,Not sure,25,1,25,25,25,3,3,3,6,4,6,6,100,31,5,6,6,6,6,6,4,6,6,6,5,6,2,Alg,"1, 2",Alg 2010,[Decline to Answer],1,1
68305,Fall17,9/26/2017 22:27,9/26/2017 23:04,37,0,1,1,2,Psychology,4,5,3,1,Asia,0,2,3,1,1,6,N/A,1,26,3,[Decline to Answer],0,[Decline to Answer],"Yes,  I have been in the REP before and this is my original REP account",1,Shuttle Driver,1,3,4,1,14,1,1,2,3,House Wife,3,4,8,N/A,6,N/A,N/A,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",8/21/1994,5,23,Asia,[Decline to Answer],Asia,Asia,Punjab,4,N/A,4,N/A,2,1,10,3,[Decline to Answer],3,1,1,1,1,7,7,7,5,5,6,4,5,2,7,7,6,1,6,1,2,2,1,1,7,6,Someone who teaches you something.,Ability to work together.,Learning new topics.,2,[Decline to Answer],2,,1,[Decline to Answer],[Decline to Answer],15,1,40,25,5,4,5,6,6,5,4,5,85,35,6,3,4,1,6,7,3,2,6,6,3,2,2,algebra,"1, 6",[Decline to Answer],[Decline to Answer],2,2
68629,Fall17,10/5/2017 21:10,10/5/2017 21:26,16,0,1,2,3,Undeclared,5,5,5,1,Japan,1,2,1,1,1,2,N/A,7,30 something,5,English,1,[Decline to Answer],"Yes,  I have been in the REP before and this is my original REP account",5,Police Officer,5,11,4,2,14,1,1,2,2.8,Analyst for DCMA,4,4,8,N/A,4,N/A,N/A,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",11/13/1995,6,21,"Manila, Philippines","Manila, Philippines","Bicol, Philippines","Bicol/Manila, Philippines","Yokosuka, Japan",4,Filipino-French-Hispanic,4,Filipino,1,1,10,3,[Decline to Answer],6,1,1,1,1,5,7,7,6,6,6,1,6,4,7,7,7,1,7,1,1,2,4,4,6,5,A mentor is someone who helps guide you,A bond that shows my gratitude towards my mentor,[Decline to Answer],1,[Decline to Answer],2,2,2,N/A,Change of mind,35,1,50,30,0,5,5,3,4,6,5,7,115,35,6,5,7,4,6,6,7,3,6,4,6,2,1,Intermediate Algebra,"1, 2, 5",[Decline to Answer],[Decline to Answer],5,3
69025,Fall17,9/27/2017 11:04,9/27/2017 12:24,80,1,1,2,4,sociology,4,4,5,1,n/a,0,4,1,0,1,2,n/a,2,45,5,spanish,0,[Decline to Answer],"Yes,  I have been in the REP before and this is my original REP account",1,Sous Chef,1,11,4,2,14,1,1,2,2.1,housekeeping,3,3,5,salvadorian,7,n/a,n/a,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",9/2/1997,5,20,El Salvador,El Salvador,El Salvador,EL Salvador,CA,3,n/a,3,n/a,1,2,10,3,[Decline to Answer],5,1,2,3,1,6,6,6,4,4,4,2,5,5,7,7,7,2,6,1,2,2,3,3,6,4,[Decline to Answer],[Decline to Answer],[Decline to Answer],2,[Decline to Answer],2,2,1,"just because, maybe",change in interest,40,1,40,40,40,5,5,4,4,5,5,5,160,33,5,5,2,1,5,5,5,5,4,4,4,2,1,intermediate Algebra,"1, 2",[Decline to Answer],[Decline to Answer],4,4
69172,Fall17,10/5/2017 22:13,10/5/2017 22:34,21,1,1,2,4,Psychology,4,4,3,1,N/A,1,3,1,0,1,6,N/A,1,80.5,5,English,1,"Foothill, Stanford","Yes,  I have been in the REP before and this is my original REP account",2,N/A,3,4,3,2,14,1,1,2,3 56,Accountant,4,7,5,N/A,7,N/A,"Irish, Polish, Guatemalan","Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",7/24/1997,6,20,"Pheonix, Arizona, US","Mountain View, California, US","Guatemala City, Guatemala","Los Angeles, California, US",CA,1,"Irish, Polish, Swedish",3,Guatemalan,1,2,10,3,[Decline to Answer],7,1,1,1,1,7,7,7,4,4,6,2,5,3,7,7,7,2,7,1,3,2,5,3,6,7,"A mentor is someone who offers positive advice, suggestions and someone one looks up to for guidance in any aspect of life.",To be put on a better path and have a better understanding of my personal needs and values.,[Decline to Answer],2,[Decline to Answer],2,2,1,Interested in more than one field,They find a passion for a different major.,35,1,45,35,25,7,5,1,6,5,7,7,140,38,6,5,5,2,3,6,7,6,6,1,5,1,2,Statistics,5,Statistics- 2015,[Decline to Answer],4,1
69202,Fall17,9/27/2017 18:21,9/27/2017 18:58,37,1,1,1,3,"biology, nursing",4,3,3,1,N/A,1,8,6,0,1,2,N/A,4,60,5,English,1,[Decline to Answer],"Yes,  I have been in the REP before and this is my original REP account",3,mechanic,2,8,4,1,14,1,1,2,3.57,unemployed,3,4,8,n/a,1,n/a,n/a,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",4/29/1996,7,21,China,US,China,US,ca,4,chinese,4,chinese,1,2,10,3,[Decline to Answer],7,1,4,4,2,1,1,4,3,3,4,1,6,6,2,2,2,6,2,4,3,6,7,7,1,1,[Decline to Answer],[Decline to Answer],[Decline to Answer],1,[Decline to Answer],2,,1,[Decline to Answer],[Decline to Answer],35,1,40,50,35,2,2,7,6,2,7,5,160,31,6,6,5,2,2,1,7,7,7,6,4,2,2,statistics,"1, 2, 3, 5",[Decline to Answer],[Decline to Answer],4,2
