repID,user,date_joined,last_login
46441,1163,3/16/2017 4:18,3/17/2017 17:49
47170,893,1/23/2017 21:32,1/31/2017 21:58
48688,512,10/18/2016 2:00,10/24/2016 6:57
49951,816,1/12/2017 23:21,1/11/2018 20:24
50737,213,6/3/2016 20:30,6/3/2016 20:30
50965,534,10/21/2016 0:48,10/21/2016 0:48
51766,123,4/26/2016 18:34,4/26/2016 19:42
52069,1669,10/1/2017 20:41,10/1/2017 20:41
52873,703,11/18/2016 3:14,11/18/2016 3:14
53560,849,1/18/2017 21:02,1/19/2017 16:53
54016,1188,3/17/2017 4:33,3/17/2017 4:33
54739,494,10/16/2016 20:55,11/14/2016 0:05
54742,860,1/19/2017 16:44,1/19/2017 16:44
55228,113,4/15/2016 6:54,4/15/2016 6:57
55621,2300,4/18/2018 6:19,4/18/2018 6:19
55873,1751,10/13/2017 21:02,10/13/2017 21:02
56191,2396,5/23/2018 23:20,5/23/2018 23:20
56539,1309,5/28/2017 21:52,5/28/2017 21:55
56668,1642,9/27/2017 4:43,9/27/2017 4:43
56737,1147,3/14/2017 4:34,3/14/2017 4:37
56872,985,2/10/2017 1:33,2/10/2017 1:33
56875,1803,10/30/2017 8:45,10/30/2017 8:45
56887,2011,2/4/2018 16:43,2/4/2018 16:43
56944,1409,6/27/2017 0:09,6/27/2017 0:09
57091,1049,2/27/2017 20:20,2/27/2017 20:20
57187,1477,7/6/2017 18:36,7/6/2017 18:36
57277,478,10/15/2016 1:59,12/12/2016 7:03
57295,1592,7/21/2017 1:12,7/21/2017 1:12
57370,437,10/12/2016 3:26,10/25/2016 3:59
57406,768,11/30/2016 21:35,11/30/2016 21:35
57577,1068,2/28/2017 20:58,2/28/2017 20:58
57736,724,11/22/2016 3:40,11/22/2016 3:40
57964,1848,11/11/2017 23:43,11/11/2017 23:43
58072,2162,3/8/2018 23:54,3/8/2018 23:54
58147,597,11/2/2016 20:32,11/2/2016 20:32
58576,1493,7/8/2017 8:24,7/15/2018 7:27
59371,935,2/2/2017 2:19,2/2/2017 2:19
59392,457,10/13/2016 3:56,12/11/2016 1:15
59584,1992,1/31/2018 2:22,1/31/2018 2:22
59641,856,1/19/2017 2:23,1/19/2017 2:23
59719,2569,7/12/2018 16:03,7/16/2018 3:03
59722,843,1/18/2017 4:56,1/18/2017 4:56
59806,1479,7/6/2017 18:53,7/6/2017 18:53
59887,625,11/8/2016 5:33,11/8/2016 5:33
60121,2452,6/9/2018 23:27,6/9/2018 23:39
60172,2353,5/1/2018 21:13,5/1/2018 21:13
60199,2148,3/6/2018 1:47,3/6/2018 1:47
60391,1222,4/15/2017 3:20,4/15/2017 3:20
60427,1523,7/11/2017 2:48,7/11/2017 2:48
60481,624,11/8/2016 5:04,11/8/2016 5:04
60484,1365,6/13/2017 18:26,6/13/2017 18:26
60520,122,4/26/2016 0:54,4/28/2016 5:13
60544,562,10/26/2016 19:37,10/27/2016 16:07
60613,1681,10/3/2017 1:08,10/3/2017 1:08
60619,1189,3/17/2017 4:37,3/17/2017 4:37
60667,2475,6/14/2018 2:30,6/14/2018 2:30
60751,1200,3/17/2017 9:56,3/17/2017 9:56
60757,1616,7/27/2017 17:37,7/28/2017 19:09
60763,164,5/28/2016 4:39,5/28/2016 4:40
60820,214,6/3/2016 21:35,6/3/2016 21:43
60946,138,5/18/2016 15:34,5/18/2016 15:34
60961,2296,4/18/2018 0:39,4/18/2018 0:39
61183,1126,3/10/2017 6:29,3/10/2017 6:29
61204,126,5/11/2016 21:16,5/11/2016 21:16
61288,1056,2/28/2017 1:31,3/8/2017 5:47
61306,1945,1/18/2018 21:12,1/30/2018 23:11
61489,1300,5/25/2017 4:54,5/25/2017 4:54
61591,1315,5/31/2017 0:45,5/31/2017 1:23
61600,2393,5/22/2018 5:41,5/22/2018 5:42
61846,1080,3/1/2017 21:54,3/1/2017 21:54
61849,1607,7/25/2017 4:48,7/25/2017 17:47
61855,165,5/28/2016 7:01,5/28/2016 7:01
62005,498,10/16/2016 22:41,10/16/2016 22:41
62128,1994,1/31/2018 20:04,1/31/2018 20:04
62287,1140,3/13/2017 4:44,3/13/2017 4:44
62377,1205,3/17/2017 20:11,3/17/2017 20:11
62575,110,4/15/2016 0:51,3/15/2019 22:50
62590,513,10/18/2016 2:16,10/20/2016 3:07
62776,914,1/30/2017 8:15,1/30/2017 8:16
62782,131,5/15/2016 22:07,6/3/2016 5:45
62788,2153,3/7/2018 5:18,3/16/2018 17:35
62914,191,6/2/2016 21:09,6/2/2016 21:09
62944,276,6/29/2016 4:21,6/29/2016 4:21
62956,944,2/4/2017 4:07,2/4/2017 4:07
63097,1055,2/28/2017 0:53,2/28/2017 0:53
63103,847,1/18/2017 7:26,1/18/2017 7:26
63169,722,11/22/2016 1:57,11/22/2016 1:57
63232,2175,3/10/2018 18:39,3/10/2018 18:48
63259,578,10/28/2016 20:29,11/17/2016 22:08
63325,144,5/21/2016 22:26,5/21/2016 22:26
63433,1094,3/3/2017 18:00,3/3/2017 18:00
63451,2901,11/20/2018 22:55,11/20/2018 22:55
63559,1247,4/21/2017 17:12,4/21/2017 17:12
63673,621,11/7/2016 19:14,11/7/2016 19:14
63718,1464,7/4/2017 21:49,7/4/2017 21:49
63757,521,10/19/2016 19:44,10/19/2016 19:44
63763,1529,7/12/2017 2:38,7/12/2017 2:38
63814,1968,1/24/2018 2:33,1/24/2018 3:08
63835,317,7/6/2016 4:30,7/6/2016 4:30
63874,266,6/27/2016 0:21,6/27/2016 0:21
63889,1448,7/2/2017 23:11,7/2/2017 23:11
64213,263,6/25/2016 4:24,6/25/2016 4:24
64237,1694,10/5/2017 21:15,10/5/2017 21:15
64255,1599,7/21/2017 20:50,7/21/2017 21:54
64282,1253,4/25/2017 19:31,5/26/2017 19:50
64408,2726,9/27/2018 2:57,9/27/2018 2:57
64546,900,1/24/2017 9:00,1/24/2017 9:00
64795,111,4/15/2016 1:03,4/15/2016 1:03
64945,2101,2/22/2018 16:48,2/22/2018 19:20
65074,249,6/21/2016 21:41,6/21/2016 21:55
65077,1954,1/20/2018 21:49,1/21/2018 23:16
65140,1470,7/5/2017 23:47,7/5/2017 23:47
65155,1580,7/20/2017 1:42,7/20/2017 1:42
65167,1020,2/17/2017 6:47,2/17/2017 6:47
65200,758,11/30/2016 0:56,11/30/2016 0:56
65251,1451,7/3/2017 1:50,7/3/2017 1:51
65284,1152,3/14/2017 18:09,3/14/2017 18:10
65305,284,6/30/2016 19:41,7/4/2016 22:38
65323,979,2/9/2017 18:57,2/9/2017 18:57
65371,1008,2/16/2017 3:02,2/16/2017 3:02
65422,604,11/4/2016 7:44,11/4/2016 7:44
65452,189,6/2/2016 18:31,6/2/2016 18:31
65458,618,11/7/2016 0:56,11/13/2016 19:13
65470,315,7/6/2016 0:49,7/6/2016 0:49
65482,434,10/12/2016 2:59,10/12/2016 2:59
65488,753,11/29/2016 18:13,11/29/2016 18:13
65560,623,11/8/2016 4:53,11/8/2016 4:53
65629,1203,3/17/2017 17:57,3/17/2017 20:59
65752,617,11/7/2016 0:47,11/7/2016 0:47
65770,435,10/12/2016 3:03,10/12/2016 3:03
65842,2145,3/5/2018 1:05,3/5/2018 1:05
65914,761,11/30/2016 4:04,11/30/2016 4:04
65920,763,11/30/2016 6:39,11/30/2016 6:39
65974,1169,3/16/2017 7:59,3/16/2017 7:59
66016,821,1/13/2017 16:32,1/13/2017 16:32
66037,1037,2/20/2017 4:43,2/23/2017 6:53
66082,1581,7/20/2017 3:32,7/20/2017 3:32
66151,2248,3/16/2018 18:35,3/16/2018 18:35
66190,1764,10/17/2017 2:24,10/17/2017 2:24
66226,917,1/30/2017 21:13,1/30/2017 21:37
66232,639,11/11/2016 21:10,11/12/2016 19:39
66247,545,10/23/2016 21:11,10/28/2016 22:32
66256,760,11/30/2016 2:12,11/30/2016 2:12
66268,2542,7/1/2018 5:02,7/1/2018 5:02
66292,773,12/1/2016 3:06,12/1/2016 3:06
66298,866,1/19/2017 22:54,3/7/2017 4:13
66325,262,6/25/2016 2:00,6/25/2016 2:00
66370,557,10/25/2016 23:22,10/25/2016 23:22
66475,166,5/28/2016 15:38,5/28/2016 15:38
66478,1290,5/19/2017 0:36,5/19/2017 0:36
66499,1370,6/14/2017 4:19,6/14/2017 4:19
66589,1334,6/6/2017 19:16,2/27/2018 2:58
66595,212,6/3/2016 20:17,11/10/2016 5:40
66601,1330,6/5/2017 17:35,6/5/2017 17:35
66613,1128,3/10/2017 16:45,3/10/2017 16:45
66634,1119,3/8/2017 20:11,3/8/2017 20:11
66646,2768,10/5/2018 22:01,10/12/2018 17:31
66691,2580,7/13/2018 4:43,7/13/2018 4:43
66835,654,11/15/2016 20:36,11/22/2016 1:20
66907,1041,2/22/2017 5:47,2/22/2017 5:47
67030,183,6/1/2016 3:49,6/1/2016 3:49
67066,514,10/18/2016 2:30,10/18/2016 2:30
67150,114,4/15/2016 7:35,4/15/2016 7:35
67183,1303,5/26/2017 2:48,5/26/2017 2:48
67261,401,7/14/2016 16:24,7/14/2016 16:24
67324,1606,7/25/2017 2:24,7/25/2017 2:24
67387,188,6/2/2016 6:04,6/3/2016 3:22
67408,198,6/3/2016 4:48,6/3/2016 4:48
67429,837,1/16/2017 22:54,3/17/2017 18:42
67459,417,7/18/2016 22:48,7/18/2016 22:48
67468,680,11/16/2016 23:57,11/16/2016 23:57
67483,1219,4/14/2017 22:00,4/14/2017 22:09
67507,128,5/11/2016 22:42,5/11/2016 23:02
67522,1285,5/10/2017 21:14,5/10/2017 21:14
67564,175,5/31/2016 0:13,5/31/2016 0:13
67567,1381,6/16/2017 0:24,6/16/2017 1:31
67597,1143,3/13/2017 22:23,3/13/2017 22:23
67609,195,6/2/2016 23:47,6/2/2016 23:47
67648,869,1/20/2017 3:29,1/20/2017 3:29
67663,173,5/30/2016 21:52,5/30/2016 21:52
67669,1294,5/22/2017 23:14,5/23/2017 0:19
67672,1513,7/10/2017 18:27,7/10/2017 18:27
67717,1885,11/28/2017 4:56,11/28/2017 4:56
67726,171,5/29/2016 21:19,5/29/2016 21:19
67861,169,5/28/2016 23:26,6/3/2016 2:33
67876,208,6/3/2016 16:57,6/3/2016 16:57
67900,793,12/2/2016 19:32,12/2/2016 19:57
67915,2206,3/15/2018 2:50,3/15/2018 2:50
67963,1494,7/8/2017 20:29,7/8/2017 20:29
68005,464,10/13/2016 20:38,10/13/2016 20:38
68017,380,7/12/2016 17:41,7/12/2016 17:41
68035,779,12/1/2016 17:53,12/1/2016 17:53
68041,1021,2/17/2017 19:06,2/17/2017 19:06
68086,471,10/13/2016 23:39,10/13/2016 23:39
68104,495,10/16/2016 21:28,10/16/2016 21:39
68110,402,7/14/2016 17:40,7/14/2016 17:40
68131,590,11/1/2016 1:08,11/1/2016 1:08
68137,531,10/20/2016 19:36,11/1/2016 19:27
68149,566,10/27/2016 6:10,10/27/2016 6:10
68188,335,7/7/2016 6:18,7/7/2016 6:18
68209,220,6/18/2016 14:58,6/18/2016 14:59
68251,2104,2/23/2018 6:26,2/23/2018 6:26
68257,321,7/6/2016 16:28,7/7/2016 4:39
68269,966,2/8/2017 6:22,2/8/2017 6:22
68290,403,7/14/2016 19:14,7/14/2016 19:14
68305,1719,10/8/2017 1:08,11/13/2017 2:42
68338,638,11/10/2016 17:22,11/10/2016 17:22
68341,685,11/17/2016 17:23,11/17/2016 17:23
68362,373,7/11/2016 5:08,7/11/2016 5:08
68374,311,7/5/2016 4:15,7/5/2016 4:15
68413,646,11/13/2016 23:25,11/13/2016 23:25
68458,689,11/17/2016 20:23,11/17/2016 20:31
68521,287,7/1/2016 4:06,7/13/2016 4:05
68707,1207,3/17/2017 21:16,3/17/2017 21:16
68731,2487,6/15/2018 16:23,6/15/2018 17:32
68752,109,4/15/2016 0:20,4/15/2016 0:20
68779,951,2/5/2017 5:22,2/5/2017 5:33
68794,133,5/17/2016 1:17,5/22/2016 1:25
68800,496,10/16/2016 21:36,10/16/2016 21:36
68803,1938,1/17/2018 19:56,3/16/2018 4:59
68815,141,5/19/2016 18:17,7/10/2016 18:42
68824,1965,1/23/2018 22:01,1/29/2018 20:09
68833,135,5/18/2016 0:27,5/18/2016 0:27
68839,130,5/14/2016 5:23,5/14/2016 5:23
68848,192,6/2/2016 21:19,6/2/2016 21:19
68863,162,5/28/2016 0:09,5/28/2016 0:09
68872,137,5/18/2016 12:11,5/19/2016 0:08
68890,186,6/2/2016 5:17,6/3/2016 0:42
68902,568,10/27/2016 17:31,10/27/2016 17:31
68911,2223,3/16/2018 0:44,3/16/2018 0:45
68929,142,5/19/2016 21:39,5/19/2016 21:39
68962,910,1/27/2017 14:19,1/27/2017 14:24
68971,120,4/25/2016 18:59,4/25/2016 18:59
69004,170,5/29/2016 20:11,5/29/2016 20:11
69016,153,5/26/2016 6:30,5/26/2016 6:30
69025,941,2/3/2017 0:51,2/17/2017 3:14
69028,143,5/21/2016 18:29,5/21/2016 18:29
69031,533,10/20/2016 22:10,12/18/2016 19:47
69037,158,5/27/2016 7:27,5/27/2016 7:27
69040,150,5/24/2016 21:31,5/24/2016 21:31
69043,2468,6/13/2018 3:12,6/13/2018 3:12
69052,139,5/19/2016 2:28,5/19/2016 2:28
69064,118,4/15/2016 22:52,4/15/2016 22:52
69079,193,6/2/2016 21:47,6/2/2016 21:47
69103,211,6/3/2016 19:55,6/3/2016 19:55
69109,152,5/25/2016 7:18,5/25/2016 7:18
69115,117,4/15/2016 18:28,4/15/2016 18:28
69124,497,10/16/2016 21:51,10/16/2016 21:56
69142,160,5/27/2016 17:43,5/27/2016 17:43
69151,196,6/3/2016 0:40,6/3/2016 0:40
69154,1266,5/1/2017 22:27,5/1/2017 22:27
69166,577,10/28/2016 19:34,10/28/2016 19:34
69169,172,5/30/2016 20:54,5/30/2016 20:54
69172,1320,6/1/2017 17:45,11/10/2017 21:01
69175,197,6/3/2016 4:10,6/3/2016 4:10
69181,119,4/20/2016 22:07,4/20/2016 22:08
69193,861,1/19/2017 17:05,1/19/2017 18:03
69199,147,5/23/2016 5:12,5/23/2016 5:12
69202,1807,10/31/2017 16:18,11/21/2017 16:29
69205,129,5/12/2016 5:14,5/12/2016 5:14
69208,134,5/17/2016 19:33,5/17/2016 19:33
69211,125,4/27/2016 20:57,4/27/2016 20:58
69214,176,5/31/2016 3:03,5/31/2016 3:03
69217,140,5/19/2016 5:46,5/19/2016 5:46
69226,121,4/25/2016 20:36,4/25/2016 20:36
69229,157,5/27/2016 5:33,5/27/2016 5:33
69235,127,5/11/2016 22:00,5/11/2016 22:00
69259,204,6/3/2016 9:13,6/3/2016 9:13
69271,124,4/27/2016 19:29,4/27/2016 19:29
69286,185,6/1/2016 21:54,6/1/2016 21:54
69289,203,6/3/2016 5:46,6/3/2016 5:46
69292,174,5/30/2016 23:05,5/30/2016 23:05
69295,210,6/3/2016 18:24,6/6/2016 19:47
69307,116,4/15/2016 18:13,5/31/2016 23:09
69316,112,4/15/2016 5:24,5/16/2016 18:21
69319,187,6/2/2016 5:33,6/2/2016 5:33
69322,161,5/27/2016 20:23,5/27/2016 20:23
69337,132,5/16/2016 3:26,7/13/2016 21:34
69343,194,6/2/2016 23:27,6/3/2016 8:42
69349,179,5/31/2016 4:04,5/31/2016 4:40
69352,181,6/1/2016 1:08,6/1/2016 1:21
69355,145,5/22/2016 21:02,5/22/2016 21:02
69361,178,5/31/2016 3:48,5/31/2016 3:48
69367,151,5/25/2016 6:31,5/25/2016 6:31
69394,182,6/1/2016 2:24,6/1/2016 2:24
69403,177,5/31/2016 3:16,6/3/2016 17:47
69412,155,5/27/2016 4:19,5/27/2016 4:21
69415,115,4/15/2016 7:43,4/15/2016 23:38
69421,136,5/18/2016 4:29,5/18/2016 4:29
69427,167,5/28/2016 22:58,5/28/2016 22:58
69433,205,6/3/2016 15:47,6/3/2016 15:47
69439,209,6/3/2016 18:19,6/3/2016 18:19
69445,1372,6/14/2017 15:04,6/14/2017 15:04
69460,687,11/17/2016 19:57,11/17/2016 19:57
69463,200,6/3/2016 5:07,6/3/2016 5:07
69466,154,5/26/2016 20:09,5/26/2016 20:09
69472,168,5/28/2016 23:01,5/31/2016 7:29
69475,190,6/2/2016 18:53,6/2/2016 18:53
69478,159,5/27/2016 15:46,5/27/2016 15:46
69493,146,5/23/2016 5:03,5/23/2016 5:04
69505,1213,4/13/2017 5:17,4/13/2017 21:13
69511,206,6/3/2016 16:00,6/3/2016 16:00
69517,1277,5/7/2017 18:33,5/7/2017 18:33
69520,199,6/3/2016 4:54,6/3/2016 4:54
69535,148,5/23/2016 20:24,5/23/2016 20:24
69541,1359,6/12/2017 5:22,6/12/2017 5:22
69544,201,6/3/2016 5:09,6/3/2016 5:09
69553,163,5/28/2016 3:51,5/28/2016 6:06
69556,180,5/31/2016 20:08,5/31/2016 20:09
69571,202,6/3/2016 5:18,6/3/2016 5:18
69583,149,5/23/2016 22:58,5/23/2016 22:58
69604,2272,4/12/2018 0:39,5/28/2018 3:00
69607,643,11/13/2016 19:48,11/13/2016 19:48
69610,156,5/27/2016 5:32,1/15/2017 7:11
69622,184,6/1/2016 20:47,6/1/2016 20:47
69625,207,6/3/2016 16:23,6/3/2016 16:23
69655,295,7/2/2016 19:37,7/2/2016 19:37
69679,302,7/3/2016 21:28,7/3/2016 21:28
69691,278,6/29/2016 5:29,6/29/2016 5:29
69697,265,6/26/2016 23:26,6/26/2016 23:26
69700,260,6/24/2016 21:23,6/24/2016 21:23
69709,267,6/27/2016 16:51,6/27/2016 16:51
69715,282,6/30/2016 14:51,6/30/2016 14:51
69736,387,7/13/2016 0:59,7/13/2016 1:00
69739,250,6/21/2016 22:57,6/24/2016 7:00
69754,257,6/23/2016 19:22,6/26/2016 8:01
69757,273,6/28/2016 22:38,6/28/2016 22:38
69766,254,6/22/2016 17:16,6/22/2016 17:16
69769,642,11/12/2016 23:52,11/12/2016 23:52
69772,595,11/2/2016 4:15,11/11/2016 5:07
69778,223,6/19/2016 2:21,6/19/2016 2:23
69790,279,6/30/2016 0:37,6/30/2016 0:37
69793,225,6/19/2016 6:29,6/19/2016 6:31
69799,233,6/20/2016 5:14,7/5/2016 5:14
69802,291,7/2/2016 1:22,7/2/2016 1:22
69805,360,7/8/2016 21:19,7/8/2016 21:19
69808,744,11/27/2016 20:29,11/27/2016 20:29
69814,238,6/20/2016 20:03,6/20/2016 20:03
69817,322,7/6/2016 17:25,7/7/2016 16:45
69820,305,7/4/2016 6:10,7/4/2016 6:10
69823,293,7/2/2016 6:09,7/8/2016 20:57
69826,334,7/7/2016 4:45,7/7/2016 4:45
69853,362,7/8/2016 21:58,7/8/2016 21:58
69862,355,7/8/2016 19:23,7/8/2016 19:23
69865,328,7/6/2016 23:44,7/6/2016 23:44
69868,253,6/22/2016 4:02,6/22/2016 4:02
69871,518,10/18/2016 20:05,10/18/2016 20:05
69877,356,7/8/2016 19:49,7/8/2016 19:49
69880,359,7/8/2016 20:49,7/8/2016 20:49
69886,343,7/8/2016 2:25,7/8/2016 2:25
69889,226,6/19/2016 16:53,6/21/2016 2:15
69907,299,7/2/2016 23:42,7/2/2016 23:42
69922,2002,2/1/2018 20:35,2/1/2018 20:35
69925,309,7/5/2016 0:24,7/5/2016 0:24
69928,268,6/27/2016 20:15,6/27/2016 20:15
69934,241,6/20/2016 21:17,6/20/2016 21:17
69937,243,6/20/2016 23:56,6/20/2016 23:56
69946,361,7/8/2016 21:45,7/8/2016 21:45
69958,395,7/14/2016 1:06,7/14/2016 1:06
69961,240,6/20/2016 20:24,6/20/2016 20:28
69964,221,6/18/2016 18:28,6/21/2016 13:04
69967,508,10/17/2016 23:02,3/12/2018 17:41
69982,358,7/8/2016 20:34,7/11/2016 8:02
69991,307,7/4/2016 16:51,7/4/2016 16:51
69997,298,7/2/2016 23:16,7/2/2016 23:16
70006,228,6/20/2016 0:17,6/20/2016 0:17
70009,292,7/2/2016 2:05,7/2/2016 2:05
70012,230,6/20/2016 4:37,6/20/2016 4:46
70027,345,7/8/2016 4:59,7/8/2016 4:59
70036,270,6/28/2016 4:31,6/28/2016 4:31
70039,370,7/10/2016 16:14,7/10/2016 16:14
70045,331,7/7/2016 2:44,7/7/2016 4:22
70048,216,6/18/2016 0:42,6/18/2016 0:42
70051,229,6/20/2016 4:01,6/20/2016 18:46
70054,372,7/11/2016 3:18,7/11/2016 3:18
70057,532,10/20/2016 22:05,10/20/2016 22:05
70078,371,7/10/2016 23:06,7/11/2016 1:01
70081,329,7/6/2016 23:45,7/6/2016 23:45
70096,339,7/7/2016 19:12,7/7/2016 19:12
70099,301,7/3/2016 17:48,7/3/2016 18:32
70117,222,6/18/2016 21:52,6/18/2016 21:52
70129,252,6/21/2016 23:43,6/21/2016 23:43
70132,235,6/20/2016 6:35,7/8/2016 4:32
70141,319,7/6/2016 5:49,7/6/2016 15:48
70144,219,6/18/2016 3:40,6/18/2016 3:40
70147,242,6/20/2016 21:51,6/20/2016 21:51
70153,363,7/8/2016 22:39,7/8/2016 22:39
70168,381,7/12/2016 19:50,7/12/2016 19:50
70174,714,11/18/2016 23:58,11/18/2016 23:58
70177,215,6/18/2016 0:33,7/14/2016 12:52
70180,353,7/8/2016 18:32,7/8/2016 18:32
70183,324,7/6/2016 20:16,7/6/2016 20:16
70186,368,7/9/2016 21:54,7/9/2016 21:54
70189,248,6/21/2016 20:53,6/21/2016 20:53
70195,264,6/25/2016 8:30,6/25/2016 8:31
70201,275,6/29/2016 3:27,7/3/2016 1:29
70210,296,7/2/2016 21:11,7/2/2016 21:11
70219,304,7/4/2016 5:32,7/4/2016 5:32
70222,409,7/15/2016 21:54,7/15/2016 21:54
70231,1017,2/17/2017 2:35,2/17/2017 2:36
70234,256,6/23/2016 2:31,6/23/2016 2:45
70237,333,7/7/2016 4:35,7/8/2016 4:16
70240,277,6/29/2016 4:43,6/29/2016 4:43
70243,271,6/28/2016 6:03,6/28/2016 7:01
70246,341,7/7/2016 22:44,7/7/2016 22:44
70252,227,6/19/2016 21:39,7/7/2016 18:21
70255,970,2/9/2017 0:49,2/9/2017 0:49
70258,405,7/15/2016 20:41,7/15/2016 20:41
70261,337,7/7/2016 18:51,7/8/2016 22:59
70267,330,7/7/2016 1:07,7/7/2016 1:07
70273,348,7/8/2016 7:24,7/8/2016 7:24
70276,325,7/6/2016 20:18,7/6/2016 20:18
70288,245,6/21/2016 3:05,6/21/2016 3:05
70291,290,7/1/2016 17:12,7/1/2016 17:12
70294,255,6/23/2016 1:49,6/23/2016 1:49
70300,251,6/21/2016 23:03,6/21/2016 23:10
70306,390,7/13/2016 16:35,7/13/2016 16:35
70309,259,6/24/2016 17:04,6/24/2016 17:04
70312,258,6/23/2016 21:01,6/23/2016 21:01
70321,297,7/2/2016 23:11,7/2/2016 23:11
70330,347,7/8/2016 7:05,7/8/2016 7:05
70333,1575,7/19/2017 16:06,7/21/2017 3:15
70339,1651,9/28/2017 5:52,9/28/2017 5:52
70342,218,6/18/2016 3:28,6/18/2016 3:30
70345,224,6/19/2016 6:20,7/14/2016 8:30
70351,1078,3/1/2017 19:36,3/1/2017 19:36
70354,351,7/8/2016 16:02,7/8/2016 16:02
70366,217,6/18/2016 3:05,6/18/2016 3:24
70369,350,7/8/2016 8:28,7/8/2016 8:28
70378,294,7/2/2016 9:28,7/2/2016 9:28
70381,306,7/4/2016 8:18,7/4/2016 8:18
70387,310,7/5/2016 2:40,7/5/2016 2:40
70390,369,7/10/2016 6:34,7/10/2016 6:34
70396,388,7/13/2016 3:32,7/13/2016 3:32
70399,246,6/21/2016 6:17,6/21/2016 6:17
70402,327,7/6/2016 23:42,7/6/2016 23:42
70411,389,7/13/2016 6:02,7/13/2016 6:02
70420,400,7/14/2016 16:19,7/14/2016 16:19
70426,376,7/11/2016 22:37,7/11/2016 22:37
70429,1468,7/5/2017 22:29,7/5/2017 22:29
70435,314,7/5/2016 21:59,7/5/2016 21:59
70441,234,6/20/2016 5:27,6/20/2016 5:34
70450,398,7/14/2016 4:27,7/14/2016 5:36
70453,320,7/6/2016 6:14,7/6/2016 6:14
70456,407,7/15/2016 21:25,7/15/2016 21:25
70459,236,6/20/2016 6:41,11/29/2017 16:59
